instrument_profile_id,msb,lsb,program,sound,role,family,origin,support_grade,stability,routing,protected,eligible_defects,controller_guards,grouped_proxy_models,unknown_count
NIP-a3944387562179308551,0,32,0,AcousticPiano GM,ACC4,PIANO,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,64,,4
NIP-da986481749ba8aa60d6,120,0,0,Standard Kit GM,DRUM,DRUM_KIT,FACTORY_CORPUS,GOOD,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|DUPLICATE_HIT|GROOVE_DRIFT,,,5
NIP-02f1532efecaddd55a10,120,0,1,Standard Kit RX2,DRUM,DRUM_KIT,FACTORY_CORPUS,STRONG,MODERATE,PRESERVE,True,,,,4
NIP-bbfbec4811db788275d2,120,0,2,Standard Kit RX3,DRUM,DRUM_KIT,FACTORY_CORPUS,STRONG,CONTEXT_DEPENDENT,PRESERVE,True,,,,5
NIP-a45c0ff5dde7d260385c,120,0,3,Ambient Kit RX,DRUM,DRUM_KIT,FACTORY_CORPUS,FALLBACK,UNKNOWN,PRESERVE,True,,,,5
NIP-d573074075e3e0758152,120,0,4,Pop Std. Kit RX,DRUM,DRUM_KIT,FACTORY_CORPUS,STRONG,CONTEXT_DEPENDENT,PRESERVE,True,,,,6
NIP-6188f3efadd6743ce831,120,0,5,Standard Kit RX1,DRUM,DRUM_KIT,FACTORY_CORPUS,STRONG,MODERATE,PRESERVE,True,,,,6
NIP-463dea28b74d889056e5,120,0,6,Standard Kit RX4,DRUM,DRUM_KIT,FACTORY_CORPUS,GOOD,CONTEXT_DEPENDENT,PRESERVE,True,,,,5
NIP-504c64a42cc412e12cd5,120,0,7,Standard Kit 1,DRUM,DRUM_KIT,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|DUPLICATE_HIT|GROOVE_DRIFT,,,6
NIP-46b8e1f3a08aef52bbe8,120,0,8,Room Kit GM,DRUM,DRUM_KIT,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|DUPLICATE_HIT|GROOVE_DRIFT,,,5
NIP-2e0e0b44083da1cd0dea,120,0,9,HipHop Kit 1,PERC,DRUM_KIT,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|DUPLICATE_HIT|GROOVE_DRIFT,,,6
NIP-659ce40a53c423f867cd,120,0,10,Jungle Kit,DRUM,DRUM_KIT,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|DUPLICATE_HIT|GROOVE_DRIFT,,,5
NIP-dee09e00d7949cc1dd10,120,0,11,Techno Kit 1,DRUM,DRUM_KIT,FACTORY_CORPUS,LIMITED,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|DUPLICATE_HIT|GROOVE_DRIFT,,,5
NIP-74a209df6055212cd44c,120,0,12,Room Kit 2,DRUM,DRUM_KIT,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|DUPLICATE_HIT|GROOVE_DRIFT,,,5
NIP-ebe0b74cabb145c268b6,120,0,13,HipHop Kit 2,PERC,DRUM_KIT,FACTORY_CORPUS,GOOD,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|DUPLICATE_HIT|GROOVE_DRIFT,,,5
NIP-24cbf7112ebd4929afda,120,0,15,Techno Kit 3,PERC,DRUM_KIT,FACTORY_CORPUS,LIMITED,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|DUPLICATE_HIT|GROOVE_DRIFT,,,5
NIP-6a2066330e086dd2f423,120,0,17,Power Kit 2,PERC,DRUM_KIT,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|DUPLICATE_HIT|GROOVE_DRIFT,,,5
NIP-55d92943e7436920625b,120,0,18,Power Kit RX1,DRUM,DRUM_KIT,FACTORY_CORPUS,LIMITED,UNKNOWN,PRESERVE,True,,,,6
NIP-3056f100b3055e881db5,120,0,19,Power Kit RX2,PERC,DRUM_KIT,FACTORY_CORPUS,FALLBACK,UNKNOWN,PRESERVE,True,,,,5
NIP-a102ed5ce9579c9ed81b,120,0,26,House Kit 1,DRUM,DRUM_KIT,FACTORY_CORPUS,GOOD,MODERATE,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|DUPLICATE_HIT|GROOVE_DRIFT,,,5
