kind,case_id,blind_order,operator,session_utc,input_midi_sha256,reference_output_sha256,optimized_output_sha256,family,role,address,top1_correct,top3_correct,false_positive,preference,mud_failure,status,stuck_note,wrong_program,lost_articulation,playback_error,comments
voice,VOICE_PIANO_01,A_REFERENCE_B_OPTIMIZED,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_02,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_03,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_04,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_05,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_06,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_07,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_08,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_09,A_REFERENCE_B_OPTIMIZED,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_10,A_REFERENCE_B_OPTIMIZED,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_11,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_12,A_REFERENCE_B_OPTIMIZED,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_13,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_14,A_REFERENCE_B_OPTIMIZED,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_15,A_REFERENCE_B_OPTIMIZED,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_16,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_17,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_18,A_REFERENCE_B_OPTIMIZED,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_19,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_20,A_REFERENCE_B_OPTIMIZED,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_21,A_REFERENCE_B_OPTIMIZED,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_22,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_23,A_REFERENCE_B_OPTIMIZED,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_24,A_REFERENCE_B_OPTIMIZED,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_25,A_REFERENCE_B_OPTIMIZED,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_26,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_27,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_28,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_29,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_30,A_OPTIMIZED_B_REFERENCE,,,,,,PIANO,,,,,,,,,,,,,
voice,VOICE_BASS_01,A_REFERENCE_B_OPTIMIZED,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_02,A_OPTIMIZED_B_REFERENCE,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_03,A_REFERENCE_B_OPTIMIZED,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_04,A_REFERENCE_B_OPTIMIZED,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_05,A_REFERENCE_B_OPTIMIZED,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_06,A_OPTIMIZED_B_REFERENCE,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_07,A_OPTIMIZED_B_REFERENCE,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_08,A_OPTIMIZED_B_REFERENCE,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_09,A_OPTIMIZED_B_REFERENCE,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_10,A_OPTIMIZED_B_REFERENCE,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_11,A_REFERENCE_B_OPTIMIZED,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_12,A_OPTIMIZED_B_REFERENCE,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_13,A_OPTIMIZED_B_REFERENCE,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_14,A_REFERENCE_B_OPTIMIZED,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_15,A_OPTIMIZED_B_REFERENCE,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_16,A_OPTIMIZED_B_REFERENCE,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_17,A_OPTIMIZED_B_REFERENCE,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_18,A_OPTIMIZED_B_REFERENCE,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_19,A_REFERENCE_B_OPTIMIZED,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_20,A_REFERENCE_B_OPTIMIZED,,,,,,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_21,A_OPTIMIZED_B_REFERENCE,,,,,,BASS,,,,,,,,,,,,,
