kind,case_id,family,role,address,top1_correct,top3_correct,false_positive,preference,mud_failure,status,stuck_note,wrong_program,lost_articulation,playback_error,comments
voice,VOICE_PIANO_01,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_02,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_03,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_04,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_05,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_06,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_07,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_08,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_09,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_10,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_11,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_12,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_13,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_14,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_15,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_16,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_17,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_18,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_19,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_20,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_21,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_22,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_23,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_24,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_25,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_26,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_27,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_28,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_29,PIANO,,,,,,,,,,,,,
voice,VOICE_PIANO_30,PIANO,,,,,,,,,,,,,
voice,VOICE_BASS_01,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_02,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_03,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_04,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_05,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_06,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_07,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_08,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_09,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_10,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_11,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_12,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_13,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_14,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_15,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_16,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_17,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_18,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_19,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_20,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_21,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_22,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_23,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_24,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_25,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_26,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_27,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_28,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_29,BASS,,,,,,,,,,,,,
voice,VOICE_BASS_30,BASS,,,,,,,,,,,,,
voice,VOICE_GUITAR_01,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_02,GUITAR,,,,,,,,,,,,,
