family,notes_in_tech_aggregates,context_cells,velocity_hist,pitch_register,timing_grid,gate,polyphony,intervals,phrase_bar_contour,ghost,strum,dead_mute,special_pitch,controllers
DRUM_KIT,541932,26,YES,YES,YES,CAUTIOUS,YES,YES,YES,YES,N/A,N/A,YES,YES_BY_EXACT_SOUND
GUITAR,320442,65,YES,YES,YES,YES,YES,YES,YES,N/A,YES,CANDIDATE,YES,YES_BY_EXACT_SOUND
OTHER_ACC,142861,65,YES,YES,YES,YES,YES,YES,YES,N/A,N/A,N/A,YES,YES_BY_EXACT_SOUND
PIANO,124473,63,YES,YES,YES,YES,YES,YES,YES,N/A,N/A,N/A,YES,YES_BY_EXACT_SOUND
BASS,82622,36,YES,YES,YES,YES,YES,YES,YES,N/A,N/A,CANDIDATE,YES,YES_BY_EXACT_SOUND
STRINGS,59265,78,YES,YES,YES,YES,YES,YES,YES,N/A,N/A,N/A,YES,YES_BY_EXACT_SOUND
BRASS,43535,75,YES,YES,YES,YES,YES,YES,YES,N/A,N/A,N/A,YES,YES_BY_EXACT_SOUND
ORGAN,29077,72,YES,YES,YES,YES,YES,YES,YES,N/A,N/A,N/A,YES,YES_BY_EXACT_SOUND
OTHER,16284,13,YES,YES,YES,YES,YES,YES,YES,N/A,N/A,N/A,YES,YES_BY_EXACT_SOUND
WOODWIND,15712,58,YES,YES,YES,YES,YES,YES,YES,N/A,N/A,N/A,YES,YES_BY_EXACT_SOUND
PLUCK,10146,45,YES,YES,YES,YES,YES,YES,YES,N/A,N/A,N/A,YES,YES_BY_EXACT_SOUND
MALLET,9855,60,YES,YES,YES,YES,YES,YES,YES,N/A,N/A,N/A,YES,YES_BY_EXACT_SOUND
ACCORDION_REED,9506,48,YES,YES,YES,YES,YES,YES,YES,N/A,N/A,N/A,YES,YES_BY_EXACT_SOUND
SYNTH_LEAD,7886,71,YES,YES,YES,YES,YES,YES,YES,N/A,N/A,N/A,YES,YES_BY_EXACT_SOUND
PAD,7471,55,YES,YES,YES,YES,YES,YES,YES,N/A,N/A,N/A,YES,YES_BY_EXACT_SOUND
PERCUSSION,5924,13,YES,YES,YES,YES,YES,YES,YES,N/A,N/A,N/A,YES,YES_BY_EXACT_SOUND
CHOIR_VOICE,3611,47,YES,YES,YES,YES,YES,YES,YES,N/A,N/A,N/A,YES,YES_BY_EXACT_SOUND
