msb,lsb,program,kit,key,hits,styles,v_absmin,v_workmin,v_idealmin,v_center,v_idealmax,v_workmax,v_absmax,dur_center,top_positions
120,0,64,Percussion Kit,30,13516,36,2.0,62.0,76.0,92.0,110.0,120.0,127.0,2.0,"[[0,5641],[96,3803],[144,1200],[48,817],[120,503],[156,342],[108,228],[132,178]]"
120,0,5,Standard Kit RX1,42,10426,27,1.0,51.0,68.0,98.0,114.0,120.0,127.0,2.0,"[[0,4657],[96,2669],[144,818],[132,807],[60,427],[48,408],[108,334],[156,96]]"
120,0,34,Jazz Kit RX2,42,9652,32,14.0,54.0,67.0,82.0,103.0,116.0,127.0,2.0,"[[0,3975],[96,2555],[60,788],[132,765],[48,668],[144,362],[156,295],[108,66]]"
120,0,64,Percussion Kit,42,9622,23,27.0,50.0,60.0,70.0,80.0,92.0,124.0,22.0,"[[96,2928],[0,2922],[144,964],[84,595],[48,592],[156,536],[132,441],[120,285]]"
120,0,33,Jazz Kit RX1,42,7048,24,1.0,60.0,74.0,88.0,107.0,120.0,127.0,7.0,"[[0,3160],[96,2020],[132,678],[156,419],[60,382],[168,279],[144,57],[48,25]]"
120,0,2,Standard Kit RX3,42,6556,20,1.0,44.0,58.0,91.0,114.0,118.0,126.0,4.0,"[[0,3235],[96,2356],[132,304],[144,162],[60,157],[48,124],[72,75],[168,70]]"
120,0,5,Standard Kit RX1,36,6301,23,16.0,80.0,102.0,110.0,118.0,120.0,127.0,3.0,"[[0,3180],[96,846],[132,652],[144,577],[120,202],[108,161],[36,132],[72,127]]"
120,0,89,Pop Std. Kit 1,42,5874,19,55.0,76.0,87.0,102.0,112.0,119.0,127.0,22.0,"[[0,2581],[96,1418],[144,528],[120,428],[48,341],[132,211],[180,163],[108,103]]"
120,0,33,Jazz Kit RX1,38,5149,23,1.0,49.0,62.0,84.0,110.0,120.0,127.0,2.0,"[[0,1963],[96,1211],[132,507],[144,399],[48,213],[60,179],[156,131],[168,127]]"
120,0,42,Brush Kit RX1,38,4625,22,16.0,39.0,53.0,73.0,90.0,108.0,127.0,2.0,"[[0,1863],[96,1301],[132,546],[144,363],[48,209],[180,108],[60,68],[120,56]]"
120,0,5,Standard Kit RX1,38,4539,25,1.0,31.0,49.0,100.0,124.0,124.0,127.0,2.0,"[[0,1902],[96,613],[144,359],[60,294],[108,224],[132,186],[156,137],[120,133]]"
120,0,34,Jazz Kit RX2,36,4491,25,36.0,90.0,102.0,114.0,125.0,126.0,127.0,2.0,"[[0,2413],[96,866],[132,545],[144,143],[60,142],[156,141],[48,89],[12,47]]"
120,0,33,Jazz Kit RX1,36,4345,22,28.0,86.0,95.0,104.0,120.0,127.0,127.0,12.0,"[[0,3130],[96,476],[132,460],[144,86],[60,65],[156,59],[48,22],[168,19]]"
120,0,64,Percussion Kit,46,4119,17,22.0,44.0,51.0,64.0,75.0,82.0,126.0,23.0,"[[0,1434],[144,978],[96,921],[48,632],[132,87],[84,36],[12,14],[72,8]]"
120,0,5,Standard Kit RX1,44,4113,27,7.0,50.0,84.0,108.0,110.0,121.0,127.0,2.0,"[[0,2175],[96,1406],[144,187],[60,162],[132,85],[36,42],[12,24],[84,9]]"
120,0,4,Pop Std. Kit RX,42,4004,11,1.0,70.0,87.0,102.0,109.0,117.0,127.0,2.0,"[[0,1814],[96,1357],[120,354],[144,237],[48,176],[132,54],[60,4],[156,4]]"
120,0,64,Percussion Kit,44,3927,13,2.0,42.0,57.0,66.0,102.0,114.0,126.0,2.0,"[[0,1444],[96,1134],[144,869],[48,306],[180,67],[60,46],[132,43],[168,9]]"
120,0,66,Trinity Perc.Kit,86,3474,12,28.0,33.0,49.0,66.0,84.0,106.0,112.0,1.0,"[[0,1211],[96,837],[144,464],[60,429],[156,426],[48,73],[120,25],[132,5]]"
120,0,2,Standard Kit RX3,36,3465,17,32.0,80.0,100.0,114.0,120.0,122.0,127.0,24.0,"[[0,1886],[96,795],[156,275],[144,214],[60,128],[132,88],[24,18],[108,16]]"
120,0,34,Jazz Kit RX2,38,3464,30,1.0,53.0,87.0,114.0,120.0,126.0,127.0,2.0,"[[0,2182],[96,396],[60,209],[48,176],[144,163],[156,125],[132,87],[180,22]]"
120,0,2,Standard Kit RX3,38,3277,19,11.0,36.0,58.0,98.0,120.0,124.0,127.0,24.0,"[[0,1638],[96,353],[132,243],[60,242],[108,227],[144,167],[36,107],[120,101]]"
120,0,66,Trinity Perc.Kit,90,3213,14,27.0,43.0,48.0,66.0,98.0,120.0,127.0,36.0,"[[144,766],[48,546],[0,491],[96,468],[132,290],[60,290],[120,288],[12,25]]"
120,0,34,Jazz Kit RX2,18,3176,18,28.0,37.0,47.0,85.0,101.0,110.0,126.0,2.0,"[[0,1183],[96,610],[60,507],[156,400],[144,194],[132,109],[12,64],[48,57]]"
120,0,89,Pop Std. Kit 1,36,3122,17,75.0,110.0,115.0,124.0,127.0,127.0,127.0,39.0,"[[0,2574],[96,328],[48,72],[120,52],[180,36],[132,32],[144,15],[168,6]]"
120,0,1,Standard Kit RX2,42,3076,14,22.0,60.0,62.0,95.0,99.0,117.0,127.0,12.0,"[[0,1838],[96,628],[48,280],[144,193],[60,75],[156,43],[132,11],[36,4]]"
120,0,64,Percussion Kit,59,2943,12,17.0,55.0,64.0,74.0,84.0,111.0,127.0,23.0,"[[0,1374],[96,859],[144,276],[48,274],[60,55],[132,41],[24,32],[120,32]]"
120,0,66,Trinity Perc.Kit,85,2942,11,16.0,36.0,41.0,51.0,69.0,84.0,109.0,4.0,"[[144,862],[48,852],[96,613],[156,234],[0,123],[84,84],[120,81],[180,42]]"
120,0,5,Standard Kit RX1,18,2901,11,19.0,50.0,55.0,69.0,88.0,108.0,124.0,23.0,"[[144,913],[48,776],[96,635],[0,440],[108,40],[60,32],[132,26],[168,22]]"
120,0,66,Trinity Perc.Kit,30,2892,2,64.0,64.0,84.0,84.0,126.0,126.0,126.0,6146.0,"[[0,604],[120,462],[60,360],[24,300],[180,296],[144,252],[156,136],[84,128]]"
120,0,90,Pop Std. Kit 2,42,2783,4,48.0,50.0,61.0,103.0,108.0,115.0,124.0,2.0,"[[0,1449],[96,1301],[36,12],[132,11],[144,6],[48,2],[120,2]]"
120,0,42,Brush Kit RX1,51,2742,18,8.0,32.0,53.0,66.0,91.0,101.0,127.0,4.0,"[[0,1538],[96,407],[132,274],[180,91],[48,74],[144,53],[24,40],[168,40]]"
120,0,66,Trinity Perc.Kit,87,2701,15,18.0,31.0,54.0,75.0,98.0,110.0,118.0,4.0,"[[0,1000],[96,992],[48,292],[120,210],[144,143],[180,17],[132,16],[36,12]]"
