msb,lsb,program,sound,role,family,notes,styles,grade,v_workmin,v_idealmin,v_center,v_idealmax,v_workmax,key_workmin,key_center,key_workmax,special_pitch_candidates
120,0,5,Standard Kit RX1,DRUM,DRUM_KIT,50228,34,STRONG,46.0,68.0,99.0,114.0,124.0,18.0,41.0,51.0,[]
120,0,34,Jazz Kit RX2,DRUM,DRUM_KIT,42237,32,STRONG,48.0,67.0,93.0,112.0,123.0,18.0,42.0,59.0,"[{""min"":3,""max"":25,""center"":15.56,""count"":5638,""fraction"":0.13348}]"
120,0,33,Jazz Kit RX1,DRUM,DRUM_KIT,31851,25,STRONG,55.0,74.0,92.0,110.0,120.0,35.0,42.0,51.0,"[{""min"":14,""max"":21,""center"":18.11,""count"":1993,""fraction"":0.06257}]"
121,15,25,Steel Guitar RX1,ACC2,GUITAR,31627,19,STRONG,53.0,61.0,77.0,91.0,99.0,48.0,60.0,101.0,"[{""min"":96,""max"":105,""center"":99.54,""count"":5460,""fraction"":0.17264},{""min"":126,""max"":127,""center"":126.48,""count"":631,""fraction"":0.01995}]"
120,0,2,Standard Kit RX3,DRUM,DRUM_KIT,27939,24,STRONG,49.0,67.0,95.0,114.0,120.0,35.0,42.0,51.0,"[{""min"":18,""max"":22,""center"":19.13,""count"":1312,""fraction"":0.04696}]"
120,0,42,Brush Kit RX1,DRUM,DRUM_KIT,23964,22,STRONG,39.0,55.0,74.0,92.0,108.0,21.0,38.0,51.0,"[{""min"":0,""max"":6,""center"":3.13,""count"":653,""fraction"":0.02725},{""min"":16,""max"":22,""center"":19.25,""count"":1969,""fraction"":0.08216},{""min"":82,""max"":89,""center"":82.76,""count"":1055,""fraction"":0.04402}]"
121,14,28,Clean Guitar RX1,ACC2,GUITAR,21847,17,STRONG,32.0,52.0,67.0,100.0,126.0,48.0,63.0,98.0,"[{""min"":96,""max"":105,""center"":99.39,""count"":2538,""fraction"":0.11617},{""min"":120,""max"":124,""center"":122.68,""count"":428,""fraction"":0.01959}]"
121,10,28,Clean Funk RX1,ACC2,GUITAR,20433,17,STRONG,51.0,67.0,83.0,97.0,112.0,55.0,64.0,101.0,"[{""min"":96,""max"":105,""center"":100.17,""count"":5500,""fraction"":0.26917}]"
120,0,1,Standard Kit RX2,DRUM,DRUM_KIT,20119,18,STRONG,46.0,62.0,92.0,110.0,122.0,4.0,40.0,59.0,"[{""min"":82,""max"":82,""center"":82.0,""count"":342,""fraction"":0.017}]"
120,0,30,House Kit RX1,DRUM,DRUM_KIT,15297,10,STRONG,56.0,71.0,90.0,110.0,122.0,20.0,42.0,61.0,"[{""min"":13,""max"":24,""center"":18.27,""count"":1829,""fraction"":0.11957},{""min"":82,""max"":82,""center"":82.0,""count"":292,""fraction"":0.01909}]"
121,16,25,Steel Guitar RX2,ACC2,GUITAR,14054,11,STRONG,59.0,67.0,80.0,96.0,107.0,52.0,60.0,103.0,"[{""min"":96,""max"":105,""center"":101.85,""count"":2105,""fraction"":0.14978},{""min"":120,""max"":126,""center"":121.7,""count"":406,""fraction"":0.02889}]"
120,0,4,Pop Std. Kit RX,DRUM,DRUM_KIT,13523,13,STRONG,69.0,86.0,104.0,112.0,123.0,36.0,42.0,54.0,[]
120,0,43,Brush Kit RX2,DRUM,DRUM_KIT,12030,10,STRONG,44.0,59.0,75.0,100.0,110.0,36.0,40.0,51.0,"[{""min"":16,""max"":22,""center"":19.48,""count"":455,""fraction"":0.03782}]"
121,12,24,Nylon Gtr RX1,ACC2,GUITAR,9271,8,GOOD,50.0,56.0,67.0,84.0,93.0,48.0,62.0,100.0,"[{""min"":96,""max"":105,""center"":101.43,""count"":1539,""fraction"":0.166}]"
121,13,24,Nylon Gtr RX2,ACC2,GUITAR,9075,8,GOOD,50.0,62.0,80.0,90.0,96.0,55.0,64.0,103.0,"[{""min"":96,""max"":109,""center"":101.03,""count"":1750,""fraction"":0.19284},{""min"":121,""max"":127,""center"":124.89,""count"":290,""fraction"":0.03196}]"
120,0,31,House Kit RX2,PERC,DRUM_KIT,8317,7,GOOD,31.0,66.0,90.0,109.0,127.0,35.0,42.0,70.0,"[{""min"":0,""max"":0,""center"":0.0,""count"":251,""fraction"":0.03018},{""min"":17,""max"":22,""center"":18.56,""count"":289,""fraction"":0.03475}]"
121,18,25,12 Strings RX,ACC3,GUITAR,7813,4,LIMITED,60.0,70.0,84.0,97.0,105.0,52.0,62.0,100.0,"[{""min"":96,""max"":106,""center"":99.76,""count"":1403,""fraction"":0.17957},{""min"":114,""max"":126,""center"":120.53,""count"":96,""fraction"":0.01229}]"
121,11,28,Clean Funk RX2,ACC2,GUITAR,7785,12,STRONG,73.0,96.0,106.0,115.0,122.0,48.0,58.0,67.0,"[{""min"":97,""max"":104,""center"":101.62,""count"":589,""fraction"":0.07566}]"
121,3,120,Vox Wah Chick RX,ACC4,SFX,7285,9,GOOD,52.0,67.0,89.0,102.0,113.0,30.0,63.0,75.0,"[{""min"":30,""max"":30,""center"":30.0,""count"":1185,""fraction"":0.16266}]"
120,0,35,Jazz Kit RX3,DRUM,DRUM_KIT,6509,5,GOOD,30.0,54.0,86.0,111.0,127.0,24.0,42.0,59.0,"[{""min"":13,""max"":24,""center"":21.46,""count"":1063,""fraction"":0.16331}]"
