msb,lsb,program,sound,role,family,rx,dnc,notes,styles,segments,grade,v_absmin,v_workmin,v_idealmin,v_center,v_idealmax,v_workmax,v_absmax,k_p10,k_p50,k_p90,dur_p10,dur_p50,dur_p90,gate_p10,gate_p50,gate_p90,special_clusters
120,0,64,Percussion Kit,PERC,DRUM_KIT,False,False,71064,84,1439,STRONG,2.0,53.0,64.0,80.0,99.0,114.0,127.0,19.0,42.0,69.0,1.0,18.0,74.0,0.016,0.12,1.0,"[{""min"":79,""max"":86,""center"":82.21,""count"":2080,""fraction"":0.02927}]"
121,3,0,Grand Piano,ACC1,PIANO,False,False,56049,68,1000,STRONG,1.0,63.0,77.0,89.0,102.0,114.0,127.0,48.0,62.0,76.0,22.0,82.0,483.0,0.188,0.849,2.391,[]
120,0,5,Standard Kit RX1,DRUM,DRUM_KIT,True,False,50228,34,595,STRONG,1.0,46.0,68.0,99.0,114.0,124.0,127.0,18.0,41.0,51.0,1.0,2.0,172.0,0.01,0.062,1.0,[]
120,0,66,Trinity Perc.Kit,PERC,DRUM_KIT,False,False,46114,36,605,STRONG,8.0,43.0,58.0,82.0,101.0,114.0,127.0,20.0,77.0,91.0,1.0,2.0,768.0,0.01,0.083,0.906,"[{""min"":101,""max"":101,""center"":101.0,""count"":532,""fraction"":0.01154}]"
120,0,34,Jazz Kit RX2,DRUM,DRUM_KIT,True,False,42237,32,540,STRONG,1.0,48.0,67.0,93.0,112.0,123.0,127.0,18.0,42.0,59.0,1.0,2.0,49.0,0.01,0.031,0.958,"[{""min"":3,""max"":25,""center"":15.56,""count"":5638,""fraction"":0.13348}]"
120,0,33,Jazz Kit RX1,DRUM,DRUM_KIT,True,False,31851,25,472,STRONG,1.0,55.0,74.0,92.0,110.0,120.0,127.0,35.0,42.0,51.0,2.0,20.0,51.0,0.021,0.235,1.0,"[{""min"":14,""max"":21,""center"":18.11,""count"":1993,""fraction"":0.06257}]"
121,15,25,Steel Guitar RX1,ACC2,GUITAR,True,False,31627,19,364,STRONG,8.0,53.0,61.0,77.0,91.0,99.0,127.0,48.0,60.0,101.0,36.0,73.0,204.0,0.416,0.97,2.727,"[{""min"":96,""max"":105,""center"":99.54,""count"":5460,""fraction"":0.17264},{""min"":126,""max"":127,""center"":126.48,""count"":631,""fraction"":0.01995}]"
121,19,25,Steel Guitar Pro,ACC2,GUITAR,False,False,27978,24,392,STRONG,8.0,73.0,83.0,100.0,114.0,124.0,127.0,50.0,60.0,100.0,35.0,90.0,288.0,0.25,0.973,4.375,"[{""min"":96,""max"":108,""center"":100.92,""count"":4161,""fraction"":0.14872}]"
120,0,2,Standard Kit RX3,DRUM,DRUM_KIT,True,False,27939,24,480,STRONG,1.0,49.0,67.0,95.0,114.0,120.0,127.0,35.0,42.0,51.0,1.0,24.0,73.0,0.013,0.312,1.0,"[{""min"":18,""max"":22,""center"":19.13,""count"":1312,""fraction"":0.04696}]"
121,13,16,Gospel Organ V.,ACC3,ORGAN,False,False,24296,26,405,STRONG,1.0,56.0,78.0,99.0,113.0,123.0,127.0,50.0,72.0,86.0,10.0,41.0,372.0,0.163,0.898,3.0,[]
120,0,42,Brush Kit RX1,DRUM,DRUM_KIT,True,False,23964,22,372,STRONG,1.0,39.0,55.0,74.0,92.0,108.0,127.0,21.0,38.0,51.0,1.0,2.0,94.0,0.01,0.021,0.85,"[{""min"":0,""max"":6,""center"":3.13,""count"":653,""fraction"":0.02725},{""min"":16,""max"":22,""center"":19.25,""count"":1969,""fraction"":0.08216},{""min"":82,""max"":89,""center"":82.76,""count"":1055,""fraction"":0.04402}]"
121,14,28,Clean Guitar RX1,ACC2,GUITAR,True,False,21847,17,252,STRONG,1.0,32.0,52.0,67.0,100.0,126.0,127.0,48.0,63.0,98.0,21.0,48.0,9314.5,0.186,0.703,1.188,"[{""min"":96,""max"":105,""center"":99.39,""count"":2538,""fraction"":0.11617},{""min"":120,""max"":124,""center"":122.68,""count"":428,""fraction"":0.01959}]"
120,0,89,Pop Std. Kit 1,DRUM,DRUM_KIT,False,False,20937,19,538,STRONG,14.0,75.0,88.0,108.0,121.0,127.0,127.0,36.0,42.0,70.0,2.0,39.0,576.0,0.021,0.438,1.0,"[{""min"":69,""max"":70,""center"":69.47,""count"":1745,""fraction"":0.08335},{""min"":81,""max"":82,""center"":81.39,""count"":1470,""fraction"":0.07021}]"
121,10,28,Clean Funk RX1,ACC2,GUITAR,True,False,20433,17,264,STRONG,1.0,51.0,67.0,83.0,97.0,112.0,127.0,55.0,64.0,101.0,22.0,48.0,139.0,0.24,0.814,1.177,"[{""min"":96,""max"":105,""center"":100.17,""count"":5500,""fraction"":0.26917}]"
120,0,1,Standard Kit RX2,DRUM,DRUM_KIT,True,False,20119,18,376,STRONG,1.0,46.0,62.0,92.0,110.0,122.0,127.0,4.0,40.0,59.0,1.0,1.0,32.0,0.016,0.031,0.639,"[{""min"":82,""max"":82,""center"":82.0,""count"":342,""fraction"":0.017}]"
121,6,33,Finger Bass 2,BASS,BASS,False,False,17943,42,718,STRONG,22.0,83.0,98.0,109.0,118.0,124.0,127.0,31.0,36.0,101.0,31.0,85.0,526.0,0.24,0.717,0.988,"[{""min"":96,""max"":108,""center"":100.26,""count"":5774,""fraction"":0.3218}]"
