file,cv,transition,active_roles_delta,added_roles,removed_roles,notes_per_bar_delta,velocity_p50_delta,fine_subdivision_delta,polyphony_delta
Factory Styles/50's  Fox.mid,1,V1->V2,0,[],[],8.0,-3.0,0.2499975,0.22360999999999986
Factory Styles/50's  Fox.mid,1,V2->V3,2,"[""ACC3"",""PERC""]",[],8.0,-6.0,-0.03125031249999999,0.03888999999999987
Factory Styles/50's  Fox.mid,1,V3->V4,2,"[""ACC4"",""ACC5""]",[],21.0,-5.0,0.20577960495283018,-0.47547169811320744
Factory Styles/50's  Fox.mid,2,V1->V2,0,[],[],8.0,0.0,0.2499975,0.22360999999999986
Factory Styles/50's  Fox.mid,2,V2->V3,2,"[""ACC3"",""PERC""]",[],8.0,-7.0,-0.03125031249999999,0.03888999999999987
Factory Styles/50's  Fox.mid,2,V3->V4,2,"[""ACC4"",""ACC5""]",[],21.0,-7.0,0.1869122464622641,-0.47547169811320744
Factory Styles/60's Dance.mid,1,V1->V2,0,[],[],2.25,-2.0,-0.07253446309136365,0.1416889310881564
Factory Styles/60's Dance.mid,1,V2->V3,0,[],[],-7.125,2.0,0.009649448739802752,0.04769574343520433
Factory Styles/60's Dance.mid,1,V3->V4,0,[],[],-0.25,2.0,-0.024981935345217622,-0.028020471978403183
Factory Styles/60's Dance.mid,2,V1->V2,0,[],[],3.75,-2.0,-0.04805415290272193,0.14773830802310228
Factory Styles/60's Dance.mid,2,V2->V3,0,[],[],-7.125,2.0,0.009649448739802752,0.04769574343520433
Factory Styles/60's Dance.mid,2,V3->V4,0,[],[],0.25,2.0,-0.01768097535242883,-0.03158304517973143
Factory Styles/60's Dance.mid,3,V1->V2,0,[],[],3.5,-2.0,-0.04430715406720785,0.13319907144907472
Factory Styles/60's Dance.mid,3,V2->V3,0,[],[],-7.125,2.0,0.015938802496814244,0.057127543050284
Factory Styles/60's Dance.mid,3,V3->V4,0,[],[],0.0,2.0,-0.03501828793774319,-0.022913035019455297
Factory Styles/60's Dance.mid,4,V1->V2,0,[],[],3.625,-2.0,-0.0374431596028281,0.12616685340442246
Factory Styles/60's Dance.mid,4,V2->V3,0,[],[],-8.0,2.0,0.0022584375860360134,0.06976365398381157
Factory Styles/60's Dance.mid,4,V3->V4,0,[],[],0.5,2.0,-0.03580193436269685,-0.026800665292814996
Factory Styles/70's Disco 1.mid,1,V1->V2,3,"[""ACC3"",""ACC4"",""PERC""]",[],87.25,-1.0,0.007431204007285974,0.3186329162112931
Factory Styles/70's Disco 1.mid,1,V2->V3,1,"[""ACC2""]",[],35.25,0.0,-0.08743220400728598,0.26429092436841684
Factory Styles/70's Disco 1.mid,1,V3->V4,0,[],[],13.75,0.0,0.021476,-0.06370623655286467
Factory Styles/70's Disco 2.mid,1,V1->V2,1,"[""ACC4""]",[],31.375,4.0,0.07928568119574297,0.02458053427045903
Factory Styles/70's Disco 2.mid,1,V2->V3,0,[],[],-15.375,4.0,0.08176581424964625,-0.13467850822628535
Factory Styles/70's Disco 2.mid,1,V3->V4,0,"[""ACC5""]","[""PERC""]",-5.875,2.0,-0.15367276070669797,0.368521899735361
Factory Styles/70's Disco 2.mid,2,V1->V2,1,"[""ACC4""]",[],32.375,5.0,0.08245728811795193,0.029041457350819533
Factory Styles/70's Disco 2.mid,2,V2->V3,0,[],[],-16.375,4.0,0.08228387522411629,-0.13287612872361998
Factory Styles/70's Disco 2.mid,2,V3->V4,0,"[""ACC5""]","[""PERC""]",-5.375,2.0,-0.15765392456499716,0.3806466874339085
Factory Styles/70's Disco 2.mid,3,V1->V2,1,"[""ACC4""]",[],32.5,2.0,0.07996604020881529,0.024787869429283793
Factory Styles/8 Beat Analog 1.mid,1,V1->V2,1,"[""ACC1""]",[],2.0,0.0,0.0,0.04938761675824166
Factory Styles/8 Beat Analog 1.mid,1,V2->V3,2,"[""ACC3"",""ACC5"",""PERC""]","[""ACC4""]",12.25,2.0,0.055900621118012424,0.250245469720497
Factory Styles/8 Beat Analog 1.mid,1,V3->V4,0,"[""ACC4""]","[""ACC3""]",18.5,4.0,-0.055900621118012424,0.23421578749834815
Factory Styles/8 Beat Analog 2.mid,1,V1->V2,0,[],[],21.5,-15.0,0.0,0.6149350087319025
Factory Styles/8 Beat Analog 2.mid,1,V2->V3,3,"[""ACC2"",""ACC3"",""ACC4""]",[],58.25,-4.0,0.0,0.06159054093106331
Factory Styles/8 Beat Analog 2.mid,1,V3->V4,0,[],[],24.5,4.0,0.0,0.03293705533522884
Factory Styles/80's Dance.mid,1,V1->V2,0,[],[],29.25,-17.0,0.0,0.5618039740655987
Factory Styles/80's Dance.mid,1,V2->V3,0,[],[],-26.5,4.0,0.0,0.18114805045176174
Factory Styles/80's Dance.mid,1,V3->V4,0,[],[],11.75,14.0,0.0,-0.46449405126254506
Factory Styles/Acoustic Bld_3_4.mid,1,V1->V2,2,"[""ACC5"",""PERC""]",[],26.0,11.5,0.0,-0.4242857142857144
Factory Styles/Acoustic Bld_3_4.mid,1,V2->V3,1,"[""ACC3""]",[],43.0,7.0,0.0,0.5565383762886595
Factory Styles/Acoustic Bld_3_4.mid,1,V3->V4,1,"[""ACC2"",""ACC4""]","[""ACC1""]",22.5,11.0,0.0,-0.2506039620627183
