file,track,role,cv,element,bars,meter,ppq,msb,lsb,program,sound,family,notes,unique_onsets,notes_per_bar,onsets_per_bar,register_width,unique_pitches,velocity_entropy,pitch_class_entropy,staccato_fraction,legato_overlap_fraction,tenuto_fraction,dead_mute_candidate_fraction,ghost_candidate_fraction,accent_candidate_fraction,polyphony_mean,polyphony_max,exact_chord_onsets,exact_chord_fraction,strum_candidates,strum_fraction,fine_subdivision_fraction,offbeat_8th_fraction,bar_repeat_similarity,special_pitch_notes,special_pitch_fraction,rhythm_fingerprint,performance_fingerprint
Factory Styles/50's  Fox.mid,1,DRUM,1,Variation 1,2,2/4,192,120,0,41,Brush Kit 2,DRUM_KIT,8,8,4.0,4.0,8,2,1.5,1.0,1.0,0.0,0.0,0.0,0.25,0.75,1.0,1,0,0.0,0,0.0,0.0,0.5,1.0,0,0.0,9af550be753f0d15,08553ca3c637ef27
Factory Styles/50's  Fox.mid,1,DRUM,1,Variation 2,2,2/4,192,120,0,41,Brush Kit 2,DRUM_KIT,16,12,8.0,6.0,10,4,3.32782,2.0,1.0,0.0,0.0,0.0,0.125,0.25,1.33333,2,4,0.33333,0,0.0,0.25,0.25,1.0,0,0.0,87b95b51d4deb966,ec73823dea19d544
Factory Styles/50's  Fox.mid,1,DRUM,1,Variation 3,2,2/4,192,120,0,41,Brush Kit 2,DRUM_KIT,18,10,9.0,5.0,8,4,3.61437,1.83659,1.0,0.0,0.0,0.0,0.16667,0.27778,1.8,2,8,0.8,0,0.0,0.11111,0.44444,1.0,0,0.0,cdd428a01506df6d,4dee565bf71fb33f
Factory Styles/50's  Fox.mid,1,DRUM,1,Variation 4,2,2/4,192,120,0,41,Brush Kit 2,DRUM_KIT,18,10,9.0,5.0,8,4,3.61437,1.83659,1.0,0.0,0.0,0.0,0.16667,0.27778,1.8,2,8,0.8,0,0.0,0.11111,0.44444,1.0,0,0.0,cdd428a01506df6d,4dee565bf71fb33f
Factory Styles/50's  Fox.mid,1,DRUM,1,Intro 1,9,2/4,192,120,0,41,Brush Kit 2,DRUM_KIT,74,40,8.22222,4.44444,21,9,4.05916,2.76323,1.0,0.0,0.0,0.0,0.13514,0.24324,1.85,3,30,0.75,0,0.0,0.2027,0.32432,0.57738,0,0.0,593167a9457b2df4,5f15af8ddaccdda1
Factory Styles/50's  Fox.mid,1,DRUM,1,Intro 2,2,2/4,192,120,0,41,Brush Kit 2,DRUM_KIT,1,1,0.5,0.5,0,1,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,30a082543c6478e2,c571ee389623c9c3
Factory Styles/50's  Fox.mid,1,DRUM,1,Intro 3,2,2/4,192,120,0,41,Brush Kit 2,DRUM_KIT,12,8,6.0,4.0,21,6,2.85539,2.28416,0.72727,0.0,0.0,0.0,0.08333,0.33333,1.5,4,2,0.25,1,0.14286,0.08333,0.08333,0.4,0,0.0,a870c7733a62ff9e,ca585c5d4598f2cc
Factory Styles/50's  Fox.mid,1,DRUM,1,Fill 1,2,2/4,192,120,0,41,Brush Kit 2,DRUM_KIT,13,12,6.5,6.0,12,5,2.93121,1.73815,0.58333,0.08333,0.0,0.0,0.30769,0.53846,1.08333,2,1,0.08333,0,0.0,0.23077,0.38462,0.57143,0,0.0,a6f9ce0768d497a1,21ec6dc4413618ed
Factory Styles/50's  Fox.mid,1,DRUM,1,Fill 2,2,2/4,192,120,0,41,Brush Kit 2,DRUM_KIT,20,12,10.0,6.0,15,5,3.92193,1.84644,0.84211,0.0,0.05263,0.0,0.2,0.25,1.66667,2,8,0.66667,0,0.0,0.15,0.4,0.71429,0,0.0,860b4c384da54f16,c63d94b9e18a657c
Factory Styles/50's  Fox.mid,1,DRUM,1,Break,2,2/4,192,120,0,41,Brush Kit 2,DRUM_KIT,11,9,5.5,4.5,19,6,3.27761,2.36852,0.8,0.0,0.0,0.0,0.27273,0.18182,1.22222,3,1,0.11111,0,0.0,0.18182,0.18182,0.28571,0,0.0,2ba02a25860a3f02,0190a7336e3fa4d3
Factory Styles/50's  Fox.mid,1,DRUM,1,Ending 1,10,2/4,192,120,0,41,Brush Kit 2,DRUM_KIT,85,48,8.5,4.8,21,9,4.1123,2.71007,1.0,0.0,0.0,0.0,0.15294,0.28235,1.77083,3,34,0.70833,0,0.0,0.22353,0.37647,0.78307,0,0.0,c4e603e2a78c30b9,08d56d788885b7c1
Factory Styles/50's  Fox.mid,1,DRUM,1,Ending 2,4,2/4,192,120,0,41,Brush Kit 2,DRUM_KIT,32,17,8.0,4.25,21,8,4.07782,2.46764,0.93333,0.06667,0.0,0.0,0.125,0.25,1.88235,3,12,0.70588,0,0.0,0.09375,0.28125,0.60952,0,0.0,14567e7be9e9e3e5,5d0f6da72fd77774
Factory Styles/50's  Fox.mid,1,DRUM,1,Ending 3,2,2/4,192,120,0,41,Brush Kit 2,DRUM_KIT,14,9,7.0,4.5,19,7,3.52164,2.6645,0.91667,0.08333,0.0,0.0,0.21429,0.21429,1.55556,3,3,0.33333,0,0.0,0.14286,0.14286,0.28571,0,0.0,2bfc6c0f79b5805c,0689191de6760989
Factory Styles/50's  Fox.mid,2,PERC,1,Variation 3,2,2/4,192,120,0,66,Trinity Perc.Kit,DRUM_KIT,2,2,1.0,1.0,0,1,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,8f6a8359245f47a5,c59c84260103dc28
Factory Styles/50's  Fox.mid,2,PERC,1,Variation 4,2,2/4,192,120,0,66,Trinity Perc.Kit,DRUM_KIT,2,2,1.0,1.0,0,1,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,8f6a8359245f47a5,c59c84260103dc28
Factory Styles/50's  Fox.mid,2,PERC,1,Intro 1,9,2/4,192,120,0,66,Trinity Perc.Kit,DRUM_KIT,66,54,7.33333,6.0,30,2,4.28999,0.68404,1.0,0.0,0.0,0.0,0.28788,0.15152,1.22222,2,12,0.22222,0,0.0,0.43939,0.36364,0.43611,0,0.0,4b03502bd14bac22,5d39b7dbd1d387fe
Factory Styles/50's  Fox.mid,2,PERC,1,Intro 2,2,2/4,192,120,0,66,Trinity Perc.Kit,DRUM_KIT,4,4,2.0,2.0,0,1,-0.0,-0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,692e90c2b84e8998,0eff218355003414
Factory Styles/50's  Fox.mid,2,PERC,1,Fill 2,2,2/4,192,120,0,66,Trinity Perc.Kit,DRUM_KIT,8,7,4.0,3.5,30,2,2.15564,0.81128,0.42857,0.0,0.0,0.0,0.25,0.125,1.14286,2,1,0.14286,0,0.0,0.375,0.25,0.16667,0,0.0,edf62711856c4a27,0fe66c1c6766df3a
Factory Styles/50's  Fox.mid,2,PERC,1,Break,2,2/4,192,120,0,66,Trinity Perc.Kit,DRUM_KIT,7,7,3.5,3.5,0,1,2.23593,-0.0,0.33333,0.0,0.0,0.0,0.42857,0.14286,1.0,1,0,0.0,0,0.0,0.57143,0.28571,0.0,0,0.0,31f5e7276b605ada,1baf8a6c3f6b5cf5
Factory Styles/50's  Fox.mid,2,PERC,1,Ending 1,10,2/4,192,120,0,66,Trinity Perc.Kit,DRUM_KIT,67,55,6.7,5.5,30,2,4.39064,0.67811,1.0,0.0,0.0,0.0,0.23881,0.1791,1.21818,2,12,0.21818,0,0.0,0.43284,0.37313,0.65525,0,0.0,6989232e4a5fefc0,e44154ae49b0c1a3
Factory Styles/50's  Fox.mid,2,PERC,1,Ending 2,4,2/4,192,120,0,66,Trinity Perc.Kit,DRUM_KIT,2,2,0.5,0.5,0,1,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1,0,0.0,0,0.0,0.0,0.0,0.66667,0,0.0,e186899dbd3bff19,c59c84260103dc28
Factory Styles/50's  Fox.mid,2,PERC,1,Ending 3,2,2/4,192,120,0,66,Trinity Perc.Kit,DRUM_KIT,7,7,3.5,3.5,0,1,2.23593,-0.0,1.0,0.0,0.0,0.0,0.42857,0.14286,1.0,1,0,0.0,0,0.0,0.57143,0.28571,0.0,0,0.0,77c2b89a7f85082e,e2057d37eb302f4d
Factory Styles/50's  Fox.mid,3,BASS,1,Variation 1,2,2/4,192,121,0,32,Acoustic Bass GM,BASS,4,4,2.0,2.0,5,2,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,50274194db44705c,09238bce50f634a0
Factory Styles/50's  Fox.mid,3,BASS,1,Variation 2,2,2/4,192,121,0,32,Acoustic Bass GM,BASS,4,4,2.0,2.0,5,2,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,50274194db44705c,09238bce50f634a0
Factory Styles/50's  Fox.mid,3,BASS,1,Variation 3,2,2/4,192,121,0,32,Acoustic Bass GM,BASS,4,4,2.0,2.0,5,2,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,50274194db44705c,09238bce50f634a0
Factory Styles/50's  Fox.mid,3,BASS,1,Variation 4,2,2/4,192,121,0,32,Acoustic Bass GM,BASS,4,4,2.0,2.0,5,2,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,50274194db44705c,09238bce50f634a0
Factory Styles/50's  Fox.mid,3,BASS,1,Intro 1,9,2/4,192,121,0,32,Acoustic Bass GM,BASS,24,24,2.66667,2.66667,10,7,2.87165,2.58846,0.26087,0.13043,0.0,0.04348,0.0,0.16667,1.0,1,0,0.0,0,0.0,0.08333,0.20833,0.57292,0,0.0,1a2016cdc02c95c0,0653286babb466a6
Factory Styles/50's  Fox.mid,3,BASS,1,Intro 2,2,2/4,192,121,0,32,Acoustic Bass GM,BASS,4,4,2.0,2.0,5,2,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,50274194db44705c,09238bce50f634a0
Factory Styles/50's  Fox.mid,3,BASS,1,Intro 3,2,2/4,192,121,0,32,Acoustic Bass GM,BASS,2,2,1.0,1.0,0,1,-0.0,-0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,a6ea77af7abdb28e,9bd916e028ae7d3a
Factory Styles/50's  Fox.mid,3,BASS,1,Fill 1,2,2/4,192,121,0,32,Acoustic Bass GM,BASS,4,4,2.0,2.0,5,2,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,50274194db44705c,09238bce50f634a0
Factory Styles/50's  Fox.mid,3,BASS,1,Fill 2,2,2/4,192,121,0,32,Acoustic Bass GM,BASS,4,4,2.0,2.0,5,2,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,50274194db44705c,09238bce50f634a0
Factory Styles/50's  Fox.mid,3,BASS,1,Break,2,2/4,192,121,0,32,Acoustic Bass GM,BASS,1,1,0.5,0.5,0,1,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,d36ffd17118e16aa,821e4a1733acac33
Factory Styles/50's  Fox.mid,3,BASS,1,Ending 1,10,2/4,192,121,0,32,Acoustic Bass GM,BASS,28,28,2.8,2.8,17,11,3.26738,2.68061,0.22222,0.18519,0.07407,0.0,0.0,0.17857,1.0,1,0,0.0,0,0.0,0.17857,0.25,0.46111,0,0.0,b71b48d940a3a844,0b2b7fd0b37a89cc
Factory Styles/50's  Fox.mid,3,BASS,1,Ending 2,4,2/4,192,121,0,32,Acoustic Bass GM,BASS,8,8,2.0,2.0,5,2,1.75,0.81128,0.42857,0.0,0.0,0.0,0.0,0.5,1.0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,956dc1eb98c3a987,4d7c763ea6d13792
Factory Styles/50's  Fox.mid,3,BASS,1,Ending 3,2,2/4,192,121,0,32,Acoustic Bass GM,BASS,3,3,1.5,1.5,0,1,1.58496,-0.0,1.0,0.0,0.0,0.0,0.0,0.33333,1.0,1,0,0.0,0,0.0,0.0,0.0,0.5,0,0.0,d5c49ee2d052bd89,f07aa7c130c0635f
Factory Styles/50's  Fox.mid,4,ACC1,1,Variation 1,2,2/4,192,121,3,0,Grand Piano,PIANO,20,8,10.0,4.0,24,6,2.82322,1.97095,1.0,0.0,0.0,0.0,0.0,0.3,2.5,4,4,0.5,0,0.0,0.0,0.8,1.0,0,0.0,9af550be753f0d15,f0e966ea9b6c47e3
Factory Styles/50's  Fox.mid,4,ACC1,1,Variation 2,2,2/4,192,121,3,0,Grand Piano,PIANO,28,10,14.0,5.0,24,6,3.20897,1.98523,0.58333,0.0,0.33333,0.0,0.0,0.28571,2.8,4,6,0.6,0,0.0,0.28571,0.57143,1.0,0,0.0,cdd428a01506df6d,34b62f62c872aa9b
