msb,lsb,program,sound,styles,roles,elements,counts,cc_thresholds,pitchbend,aftertouch,nrpn,rpn
,,,,252,"[[""ACC5"",15765],[""ACC4"",15080],[""PERC"",13919],[""ACC3"",13777],[""ACC1"",13544],[""ACC2"",13480],[""DRUM"",13265],[""BASS"",13238],[null,3276]]","[[""Variation 1"",14729],[""Variation 2"",10574],[""Variation 3"",9898],[""Intro 1"",9291],[""Variation 4"",9133],[""Ending 1"",7781],[""Fill 2"",7735],[""Intro 2"",7734],[""Fill 1"",7731],[""Intro 3"",7728],[""Break"",7718],[""Ending 2"",7650],[""Ending 3"",7390],[null,252]]","{""cc:11"":4718,""cc:7"":4718,""cc:22"":102632,""cc:31"":3276}",{},"{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,3,0,Grand Piano,68,"[[""ACC1"",94366],[""ACC2"",19105],[""ACC3"",4086],[""ACC4"",2069]]","[[""Variation 4"",20430],[""Variation 3"",19120],[""Ending 1"",18871],[""Intro 1"",18702],[""Variation 2"",13745],[""Variation 1"",8961],[""Intro 2"",5019],[""Ending 2"",4719],[""Ending 3"",3281],[""Fill 2"",3132],[""Fill 1"",2463],[""Break"",956],[""Intro 3"",227]]","{""cc:11"":849,""cc:7"":849,""cc:0"":849,""cc:32"":801,""cc:22"":761,""cc:64"":2811,""pb"":739,""cc:1"":11,""cc:8"":22,""cc:67"":22,""cc:100"":13,""cc:103"":11,""cc:6"":9,""cc:66"":11,""cc:115"":3,""cc:110"":4,""cc:121"":4,""cc:3"":4,""cc:19"":4,""cc:97"":4,""cc:5"":2,""cc:114"":1,""cc:119"":1}","{""1"":{""n"":11,""ge64"":0,""zero"":1,""max"":48},""64"":{""n"":2811,""ge64"":1362,""zero"":1442,""max"":127}}","{""n"":739,""nonzero"":706,""positive"":670,""negative"":36,""zero"":33,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-5468.16,""p05"":0.0,""p10"":46.8,""p25"":639.5,""p50"":2340.0,""p75"":4527.5,""p90"":6144.0,""p95"":7295.0,""p99"":8142.36,""max"":8191.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,1,26,Pedal Steel Gtr1,10,"[[""ACC3"",15133],[""ACC5"",336]]","[[""Variation 4"",3309],[""Variation 3"",3097],[""Variation 2"",2603],[""Ending 1"",2167],[""Intro 1"",1008],[""Ending 2"",879],[""Ending 3"",736],[""Intro 2"",641],[""Fill 2"",421],[""Fill 1"",276],[""Variation 1"",228],[""Break"",86],[""Intro 3"",18]]","{""cc:64"":122,""pb"":4841,""cc:11"":102,""cc:7"":102,""cc:0"":99,""cc:32"":104,""cc:22"":98,""cc:1"":1601,""cc:8"":6,""cc:67"":12,""cc:114"":3,""cc:116"":6,""cc:110"":6,""cc:6"":3,""cc:66"":3,""cc:115"":3,""cc:100"":6,""cc:121"":3,""cc:19"":3}","{""1"":{""n"":1601,""ge64"":541,""zero"":146,""max"":127},""64"":{""n"":122,""ge64"":60,""zero"":62,""max"":127}}","{""n"":4841,""nonzero"":4546,""positive"":677,""negative"":3869,""zero"":295,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-8082.0,""p05"":-7408.0,""p10"":-6336.0,""p25"":-4128.0,""p50"":-2337.0,""p75"":-384.0,""p90"":1872.0,""p95"":4222.0,""p99"":7617.0,""max"":8191.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
120,0,64,Percussion Kit,84,"[[""PERC"",144634],[""DRUM"",3164]]","[[""Variation 4"",30215],[""Variation 3"",22862],[""Ending 1"",18952],[""Variation 2"",18427],[""Intro 1"",16224],[""Variation 1"",13244],[""Ending 2"",9650],[""Intro 2"",6158],[""Fill 2"",3653],[""Ending 3"",3448],[""Fill 1"",2907],[""Break"",1132],[""Intro 3"",926]]","{""cc:11"":1231,""cc:7"":1231,""cc:0"":1231,""cc:32"":1231,""cc:22"":1182,""pb"":38}",{},"{""n"":38,""nonzero"":25,""positive"":5,""negative"":20,""zero"":13,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-8192.0,""p05"":-8192.0,""p10"":-8192.0,""p25"":-2500.0,""p50"":-1561.0,""p75"":0.0,""p90"":4000.0,""p95"":4000.0,""p99"":4000.0,""max"":4000.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,10,30,Dist. Guitar RX2,7,"[[""ACC4"",4942],[""ACC5"",2012],[""ACC2"",699],[""ACC3"",118]]","[[""Ending 1"",3872],[""Intro 1"",2199],[""Variation 4"",617],[""Variation 3"",376],[""Ending 2"",342],[""Ending 3"",139],[""Fill 2"",102],[""Break"",57],[""Fill 1"",25],[""Variation 2"",18],[""Intro 2"",12],[""Intro 3"",12]]","{""cc:11"":35,""cc:7"":35,""cc:0"":35,""cc:32"":32,""pb"":4202,""cc:22"":64,""cc:1"":157,""cc:8"":2,""cc:67"":2,""cc:100"":1,""cc:103"":1,""cc:6"":1,""cc:66"":1,""cc:115"":2,""cc:106"":1,""cc:110"":1,""cc:121"":1,""cc:10"":1,""cc:19"":1}","{""1"":{""n"":157,""ge64"":74,""zero"":18,""max"":127}}","{""n"":4202,""nonzero"":3986,""positive"":3214,""negative"":772,""zero"":216,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-7937.0,""p05"":-5632.0,""p10"":-3073.0,""p25"":255.0,""p50"":2304.0,""p75"":4864.0,""p90"":6911.0,""p95"":7519.0,""p99"":8191.0,""max"":8191.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,0,33,Finger Bass GM,31,"[[""BASS"",25823]]","[[""Variation 1"",4580],[""Variation 4"",4550],[""Variation 3"",3654],[""Variation 2"",3327],[""Ending 1"",2671],[""Intro 1"",2389],[""Ending 2"",1267],[""Intro 2"",1009],[""Ending 3"",642],[""Fill 1"",615],[""Fill 2"",615],[""Break"",370],[""Intro 3"",134]]","{""pb"":1534,""cc:11"":507,""cc:7"":507,""cc:0"":507,""cc:32"":497,""cc:22"":340,""cc:1"":16,""cc:64"":31}","{""1"":{""n"":16,""ge64"":9,""zero"":3,""max"":127},""64"":{""n"":31,""ge64"":15,""zero"":16,""max"":127}}","{""n"":1534,""nonzero"":1280,""positive"":116,""negative"":1164,""zero"":254,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-8192.0,""p05"":-7278.4,""p10"":-6208.0,""p25"":-4695.0,""p50"":-2240.0,""p75"":-233.0,""p90"":0.0,""p95"":1280.0,""p99"":5348.0,""max"":8191.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,6,33,Finger Bass 2,42,"[[""BASS"",39517]]","[[""Variation 4"",6506],[""Variation 1"",6046],[""Variation 3"",5374],[""Intro 1"",4819],[""Ending 1"",4545],[""Variation 2"",4320],[""Intro 2"",1890],[""Ending 2"",1694],[""Fill 2"",1228],[""Fill 1"",1103],[""Ending 3"",935],[""Break"",622],[""Intro 3"",435]]","{""cc:11"":631,""cc:7"":631,""cc:0"":631,""cc:32"":617,""cc:22"":393,""pb"":958,""cc:64"":20,""cc:1"":16}","{""1"":{""n"":16,""ge64"":8,""zero"":4,""max"":107},""64"":{""n"":20,""ge64"":10,""zero"":10,""max"":127}}","{""n"":958,""nonzero"":788,""positive"":99,""negative"":689,""zero"":170,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-8192.0,""p05"":-7596.05,""p10"":-6656.0,""p25"":-4910.0,""p50"":-2048.0,""p75"":0.0,""p90"":1153.3,""p95"":4608.0,""p99"":8128.0,""max"":8191.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,,,,252,"[[""BASS"",632],[""ACC2"",630],[""ACC3"",624],[""ACC1"",618],[""ACC4"",521],[""ACC5"",472],[""PERC"",23]]","[[""Variation 1"",1619],[""Intro 1"",601],[""Variation 2"",502],[""Variation 3"",446],[""Variation 4"",265],[""Ending 1"",59],[""Fill 2"",10],[""Ending 2"",7],[""Ending 3"",4],[""Fill 1"",3],[""Break"",3],[""Intro 2"",1]]","{""cc:0"":3520}",{},"{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,0,0,AcousticPiano GM,31,"[[""ACC1"",23186],[""ACC4"",7543],[""ACC5"",3379],[""ACC3"",321],[""ACC2"",61]]","[[""Variation 2"",5997],[""Intro 1"",5559],[""Variation 4"",5552],[""Variation 1"",5043],[""Ending 1"",4740],[""Variation 3"",2538],[""Ending 2"",1240],[""Fill 1"",875],[""Fill 2"",873],[""Intro 2"",828],[""Break"",610],[""Ending 3"",537],[""Intro 3"",98]]","{""cc:11"":274,""cc:7"":276,""cc:0"":272,""cc:32"":260,""cc:22"":504,""cc:64"":209,""pb"":795,""cc:1"":514,""cc:8"":10,""cc:67"":16,""cc:114"":2,""cc:116"":6,""cc:110"":5,""cc:6"":2,""cc:66"":4,""cc:115"":2,""cc:100"":5,""cc:121"":3,""cc:103"":2,""cc:5"":2}","{""1"":{""n"":514,""ge64"":108,""zero"":36,""max"":127},""64"":{""n"":209,""ge64"":84,""zero"":125,""max"":127}}","{""n"":795,""nonzero"":723,""positive"":249,""negative"":474,""zero"":72,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-8192.0,""p05"":-7600.0,""p10"":-5984.0,""p25"":-3440.0,""p50"":-832.0,""p75"":320.0,""p90"":3155.2,""p95"":4542.4,""p99"":7828.8,""max"":8176.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,3,120,Vox Wah Chick RX,9,"[[""ACC4"",6208],[""PERC"",5703],[""ACC2"",4318],[""ACC1"",1240]]","[[""Variation 4"",4441],[""Variation 1"",3438],[""Variation 3"",2416],[""Variation 2"",2306],[""Ending 1"",1528],[""Intro 1"",1097],[""Fill 1"",475],[""Fill 2"",465],[""Intro 2"",385],[""Ending 2"",377],[""Ending 3"",372],[""Break"",123],[""Intro 3"",46]]","{""cc:22"":132,""cc:11"":119,""cc:7"":119,""cc:0"":119,""cc:32"":115,""pb"":2385}",{},"{""n"":2385,""nonzero"":2216,""positive"":0,""negative"":2216,""zero"":169,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-8065.0,""p05"":-7552.0,""p10"":-6785.0,""p25"":-5632.0,""p50"":-3584.0,""p75"":-1409.0,""p90"":-384.0,""p95"":0.0,""p99"":0.0,""max"":0.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
