file,element,cv,role_a,role_b,a_onsets,b_onsets,exact_fraction_a,nearest_abs_ticks_p50,nearest_abs_qn_p50,nearest_signed_ticks_p50,jaccard
Factory Styles/50's  Fox.mid,Variation 1,1,DRUM,BASS,8,4,0.5,48.0,0.25,-48.0,0.5
Factory Styles/50's  Fox.mid,Variation 1,1,BASS,ACC1,4,8,1.0,0.0,0.0,0.0,0.5
Factory Styles/50's  Fox.mid,Variation 1,1,DRUM,ACC1,8,8,1.0,0.0,0.0,0.0,1.0
Factory Styles/50's  Fox.mid,Variation 2,1,DRUM,BASS,12,4,0.3333333333333333,32.0,0.16666666666666666,0.0,0.3333333333333333
Factory Styles/50's  Fox.mid,Variation 2,1,BASS,ACC1,4,10,1.0,0.0,0.0,0.0,0.4
Factory Styles/50's  Fox.mid,Variation 2,1,DRUM,ACC1,12,10,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334
Factory Styles/50's  Fox.mid,Variation 3,1,DRUM,PERC,10,2,0.2,96.0,0.5,16.0,0.2
Factory Styles/50's  Fox.mid,Variation 3,1,DRUM,BASS,10,4,0.4,32.0,0.16666666666666666,0.0,0.4
Factory Styles/50's  Fox.mid,Variation 3,1,BASS,ACC1,4,10,1.0,0.0,0.0,0.0,0.4
Factory Styles/50's  Fox.mid,Variation 3,1,DRUM,ACC1,10,10,1.0,0.0,0.0,0.0,1.0
Factory Styles/50's  Fox.mid,Variation 3,1,DRUM,ACC3,10,6,0.6,0.0,0.0,0.0,0.6
Factory Styles/50's  Fox.mid,Variation 4,1,DRUM,PERC,10,2,0.2,96.0,0.5,16.0,0.2
Factory Styles/50's  Fox.mid,Variation 4,1,DRUM,BASS,10,4,0.4,32.0,0.16666666666666666,0.0,0.4
Factory Styles/50's  Fox.mid,Variation 4,1,BASS,ACC1,4,10,1.0,0.0,0.0,0.0,0.4
Factory Styles/50's  Fox.mid,Variation 4,1,DRUM,ACC1,10,10,1.0,0.0,0.0,0.0,1.0
Factory Styles/50's  Fox.mid,Variation 4,1,DRUM,ACC3,10,6,0.6,0.0,0.0,0.0,0.6
Factory Styles/50's  Fox.mid,Intro 1,1,DRUM,PERC,40,54,0.925,0.0,0.0,0.0,0.6491228070175439
Factory Styles/50's  Fox.mid,Intro 1,1,DRUM,BASS,40,24,0.45,32.0,0.16666666666666666,0.0,0.391304347826087
Factory Styles/50's  Fox.mid,Intro 1,1,BASS,ACC1,24,39,1.0,0.0,0.0,0.0,0.6153846153846154
Factory Styles/50's  Fox.mid,Intro 1,1,BASS,ACC2,24,42,0.875,0.0,0.0,0.0,0.4666666666666667
Factory Styles/50's  Fox.mid,Intro 1,1,DRUM,ACC1,40,39,0.825,0.0,0.0,0.0,0.717391304347826
Factory Styles/50's  Fox.mid,Intro 1,1,DRUM,ACC2,40,42,0.7,0.0,0.0,0.0,0.5185185185185185
Factory Styles/50's  Fox.mid,Intro 1,1,DRUM,ACC3,40,35,0.725,0.0,0.0,0.0,0.6304347826086957
Factory Styles/50's  Fox.mid,Intro 2,1,DRUM,PERC,1,4,0.0,95.0,0.4947916666666667,-95.0,0.0
