file,element,role,pair,rhythm_jaccard,same_rhythm_mask,density_ratio,velocity_p50_delta,register_width_delta,sound_same
Factory Styles/50's  Fox.mid,Variation 1,DRUM,CV1-CV2,1.0,True,1.0,0.0,0,True
Factory Styles/50's  Fox.mid,Variation 1,BASS,CV1-CV2,1.0,True,1.0,-1.5,2,True
Factory Styles/50's  Fox.mid,Variation 1,ACC1,CV1-CV2,1.0,True,1.0,-2.0,0,True
Factory Styles/50's  Fox.mid,Variation 2,DRUM,CV1-CV2,1.0,True,1.0,0.0,0,True
Factory Styles/50's  Fox.mid,Variation 2,BASS,CV1-CV2,1.0,True,1.0,-1.5,2,True
Factory Styles/50's  Fox.mid,Variation 2,ACC1,CV1-CV2,1.0,True,1.0,3.0,0,True
Factory Styles/50's  Fox.mid,Variation 3,DRUM,CV1-CV2,1.0,True,1.0,0.0,0,True
Factory Styles/50's  Fox.mid,Variation 3,PERC,CV1-CV2,1.0,True,1.0,0.0,0,True
Factory Styles/50's  Fox.mid,Variation 3,BASS,CV1-CV2,1.0,True,1.0,-1.5,2,True
Factory Styles/50's  Fox.mid,Variation 3,ACC1,CV1-CV2,1.0,True,1.0,2.0,0,True
Factory Styles/50's  Fox.mid,Variation 3,ACC3,CV1-CV2,1.0,True,1.0,12.0,1,True
Factory Styles/50's  Fox.mid,Variation 4,DRUM,CV1-CV2,1.0,True,1.0,0.0,0,True
Factory Styles/50's  Fox.mid,Variation 4,PERC,CV1-CV2,1.0,True,1.0,0.0,0,True
Factory Styles/50's  Fox.mid,Variation 4,BASS,CV1-CV2,1.0,True,1.0,-1.5,2,True
Factory Styles/50's  Fox.mid,Variation 4,ACC1,CV1-CV2,1.0,True,1.0,2.0,0,True
Factory Styles/50's  Fox.mid,Variation 4,ACC3,CV1-CV2,1.0,True,1.0,12.0,1,True
Factory Styles/50's  Fox.mid,Variation 4,ACC4,CV1-CV2,1.0,True,1.0,0.0,2,True
Factory Styles/50's  Fox.mid,Variation 4,ACC5,CV1-CV2,0.55,False,1.0,-1.0,4,True
Factory Styles/50's  Fox.mid,Intro 1,DRUM,CV1-CV2,1.0,True,1.0,0.0,0,True
Factory Styles/50's  Fox.mid,Intro 1,PERC,CV1-CV2,1.0,True,1.0,0.0,0,True
Factory Styles/50's  Fox.mid,Intro 1,BASS,CV1-CV2,0.8,False,0.8333333333333334,1.5,2,True
Factory Styles/50's  Fox.mid,Intro 1,ACC1,CV1-CV2,1.0,True,0.981132075471698,2.0,1,True
Factory Styles/50's  Fox.mid,Intro 1,ACC2,CV1-CV2,0.4166666666666667,False,0.35714285714285715,0.0,-8,True
Factory Styles/50's  Fox.mid,Intro 1,ACC3,CV1-CV2,0.7142857142857143,False,0.6428571428571429,0.0,-4,True
Factory Styles/50's  Fox.mid,Intro 1,ACC4,CV1-CV2,0.7142857142857143,False,0.6216216216216216,0.0,6,True
Factory Styles/50's  Fox.mid,Intro 1,ACC5,CV1-CV2,0.45454545454545453,False,0.8514851485148516,-10.0,-6,True
Factory Styles/50's  Fox.mid,Intro 2,DRUM,CV1-CV2,1.0,True,1.0,0.0,0,True
Factory Styles/50's  Fox.mid,Intro 2,PERC,CV1-CV2,1.0,True,1.0,0.0,0,True
Factory Styles/50's  Fox.mid,Intro 2,BASS,CV1-CV2,1.0,True,1.0,-1.5,2,True
Factory Styles/50's  Fox.mid,Intro 2,ACC1,CV1-CV2,1.0,True,1.0,-2.0,0,True
Factory Styles/50's  Fox.mid,Ending 1,DRUM,CV1-CV2,1.0,True,1.0,0.0,0,True
Factory Styles/50's  Fox.mid,Ending 1,PERC,CV1-CV2,1.0,True,1.0,0.0,0,True
Factory Styles/50's  Fox.mid,Ending 1,BASS,CV1-CV2,0.7142857142857143,False,0.7857142857142858,1.5,0,True
Factory Styles/50's  Fox.mid,Ending 1,ACC1,CV1-CV2,0.8571428571428571,False,0.983050847457627,1.0,3,True
Factory Styles/50's  Fox.mid,Ending 1,ACC2,CV1-CV2,0.5555555555555556,False,0.4418604651162791,0.0,-1,True
Factory Styles/50's  Fox.mid,Ending 1,ACC3,CV1-CV2,0.75,False,0.6447368421052633,0.0,-4,True
Factory Styles/50's  Fox.mid,Ending 1,ACC4,CV1-CV2,0.75,False,0.5853658536585367,1.5,-7,True
Factory Styles/50's  Fox.mid,Ending 1,ACC5,CV1-CV2,0.35135135135135137,False,1.0975609756097562,-14.5,-13,True
Factory Styles/60's Dance.mid,Variation 1,DRUM,CV1-CV2,1.0,True,1.0,0.0,0,True
Factory Styles/60's Dance.mid,Variation 1,DRUM,CV1-CV3,1.0,True,1.0,0.0,0,True
Factory Styles/60's Dance.mid,Variation 1,DRUM,CV1-CV4,1.0,True,1.0,0.0,0,True
Factory Styles/60's Dance.mid,Variation 1,DRUM,CV1-CV5,1.0,True,1.0,0.0,0,True
Factory Styles/60's Dance.mid,Variation 1,PERC,CV1-CV2,1.0,True,1.0,0.0,0,True
Factory Styles/60's Dance.mid,Variation 1,PERC,CV1-CV3,1.0,True,1.0,0.0,0,True
Factory Styles/60's Dance.mid,Variation 1,PERC,CV1-CV4,1.0,True,1.0,0.0,0,True
Factory Styles/60's Dance.mid,Variation 1,PERC,CV1-CV5,1.0,True,1.0,0.0,0,True
