kind,role,element,fingerprint,segments,styles,example_files
RHYTHM,ACC1,Break,cba2fdf5c5772adc,124,115,"[""Factory Styles/60's Dance.mid"",""Factory Styles/70's Disco 1.mid"",""Factory Styles/70's Disco 2.mid"",""Factory Styles/8 Beat Analog 1.mid"",""Factory Styles/8 Beat Analog 2.mid"",""Factory Styles/80's Dance.mid"",""Factory Styles/Al Funk.mid"",""Factory Styles/Al Swing.mid""]"
RHYTHM,BASS,Break,cba2fdf5c5772adc,68,66,"[""Factory Styles/60's Dance.mid"",""Factory Styles/70's Disco 2.mid"",""Factory Styles/8 Beat Analog 1.mid"",""Factory Styles/80's Dance.mid"",""Factory Styles/Analog Ballad 2.mid"",""Factory Styles/Analog Beat 1.mid"",""Factory Styles/Argentina Tango.mid"",""Factory Styles/Barry Dance.mid""]"
RHYTHM,ACC2,Break,cba2fdf5c5772adc,62,53,"[""Factory Styles/70's Disco 1.mid"",""Factory Styles/8 Beat Analog 1.mid"",""Factory Styles/Al Funk.mid"",""Factory Styles/Alpen Rock.mid"",""Factory Styles/Analog Ballad 2.mid"",""Factory Styles/Argentina Tango.mid"",""Factory Styles/Army Band.mid"",""Factory Styles/Bavarian Pop.mid""]"
RHYTHM,ACC3,Break,cba2fdf5c5772adc,60,51,"[""Factory Styles/80's Dance.mid"",""Factory Styles/Argentina Tango.mid"",""Factory Styles/Army Band.mid"",""Factory Styles/Blues Ballad.mid"",""Factory Styles/Blues.mid"",""Factory Styles/British Pop.mid"",""Factory Styles/Caribbean.mid"",""Factory Styles/ClassicSchlager1.mid""]"
RHYTHM,ACC5,Break,cba2fdf5c5772adc,58,51,"[""Factory Styles/70's Disco 1.mid"",""Factory Styles/8 Beat Analog 1.mid"",""Factory Styles/Alpen Ballade.mid"",""Factory Styles/Big Band 40's.mid"",""Factory Styles/Blues Ballad.mid"",""Factory Styles/Caribbean.mid"",""Factory Styles/Classic Funk.mid"",""Factory Styles/Country Boogie.mid""]"
RHYTHM,ACC4,Break,cba2fdf5c5772adc,52,47,"[""Factory Styles/70's Disco 1.mid"",""Factory Styles/Alpen Ballade.mid"",""Factory Styles/Alpen Rock.mid"",""Factory Styles/Analog Ballad 1.mid"",""Factory Styles/Army Band.mid"",""Factory Styles/Barry Dance.mid"",""Factory Styles/Bluegrass.mid"",""Factory Styles/Blues Ballad.mid""]"
RHYTHM,BASS,Break,54015302c3c0b258,49,44,"[""Factory Styles/70's Disco 1.mid"",""Factory Styles/Army Band.mid"",""Factory Styles/Big Band Jump.mid"",""Factory Styles/Blues Ballad.mid"",""Factory Styles/Caribbean.mid"",""Factory Styles/ClassicSchlager3.mid"",""Factory Styles/Country Beat 2.mid"",""Factory Styles/Country Schlager.mid""]"
RHYTHM,ACC5,Fill 2,cba2fdf5c5772adc,47,41,"[""Factory Styles/AM _ PM.mid"",""Factory Styles/Analog Ballad 1.mid"",""Factory Styles/Analog Ballad 2.mid"",""Factory Styles/Analog Beat 2.mid"",""Factory Styles/Argentina Tango.mid"",""Factory Styles/Classic Beat.mid"",""Factory Styles/Country Ballad 1.mid"",""Factory Styles/Easy Beat 1.mid""]"
RHYTHM,BASS,Intro 3,9e34d20914f008da,31,31,"[""Factory Styles/Analog Ballad 1.mid"",""Factory Styles/Blues Ballad.mid"",""Factory Styles/ClassicSchlager1.mid"",""Factory Styles/ClassicSchlager3.mid"",""Factory Styles/Country Beat 1.mid"",""Factory Styles/Country Strum.mid"",""Factory Styles/Desert Shuffle.mid"",""Factory Styles/Easy Ballad.mid""]"
RHYTHM,ACC1,Fill 1,cba2fdf5c5772adc,33,28,"[""Factory Styles/8 Beat Analog 1.mid"",""Factory Styles/Analog Ballad 1.mid"",""Factory Styles/Black Funk.mid"",""Factory Styles/Blue Ballad.mid"",""Factory Styles/British Pop.mid"",""Factory Styles/Dance Fever.mid"",""Factory Styles/Elektrik Funk.mid"",""Factory Styles/Fox Schlager.mid""]"
