msb,lsb,program,sound,family,segments,styles,special_notes,all_notes,special_fraction,before_normal,after_normal,isolated
121,15,25,Steel Guitar RX1,GUITAR,305,16,6091,27770,0.2193374144760533,4476,1612,3
120,0,34,Jazz Kit RX2,DRUM_KIT,356,27,5994,28800,0.208125,4747,1247,0
121,6,33,Finger Bass 2,BASS,461,29,5866,13512,0.43413262285375964,5808,58,0
121,10,28,Clean Funk RX1,OTHER_ACC,128,11,5500,14833,0.3707948493224567,3669,1811,20
121,19,25,Steel Guitar Pro,GUITAR,266,19,4188,19006,0.2203514679574871,3297,891,0
120,0,42,Brush Kit RX1,DRUM_KIT,118,13,3822,12045,0.3173100871731009,3080,742,0
120,0,89,Pop Std. Kit 1,DRUM_KIT,116,8,3215,5055,0.636003956478734,1600,1011,604
121,17,25,12 Strings Pro,STRINGS,197,11,3136,12853,0.2439897300241189,3014,122,0
121,14,28,Clean Guitar RX1,GUITAR,134,14,3103,17738,0.1749351674371406,2743,360,0
121,16,25,Steel Guitar RX2,GUITAR,75,7,2545,8758,0.29059145923726876,1716,129,700
120,0,67,i30 Perc. Kit,DRUM_KIT,84,6,2511,2815,0.8920071047957371,209,51,2251
120,0,64,Percussion Kit,DRUM_KIT,190,20,2420,16729,0.14465897543188475,1668,644,108
120,0,30,House Kit RX1,DRUM_KIT,97,9,2198,10598,0.2073976221928666,1818,380,0
120,0,33,Jazz Kit RX1,DRUM_KIT,125,13,2145,13408,0.15997911694510739,1633,512,0
120,0,65,Latin Perc. Kit1,DRUM_KIT,45,5,2135,3079,0.6934069503085417,1318,674,143
121,13,24,Nylon Gtr RX2,GUITAR,106,8,2112,8710,0.24247990815154993,1544,568,0
121,16,27,Stra. Vel. Pro,OTHER_ACC,50,5,1865,7226,0.2580957652920011,1861,4,0
121,11,24,Nylon Gtr Pro2,GUITAR,48,3,1817,4331,0.41953359501269916,1452,365,0
121,14,25,Steel Slide Pro2,GUITAR,98,5,1739,6861,0.2534615945197493,1404,335,0
121,8,24,Nylon Gtr Pro1,GUITAR,80,5,1692,5801,0.29167384933632134,1524,168,0
120,0,26,House Kit 1,DRUM_KIT,60,6,1671,5722,0.2920307584760573,1405,266,0
121,7,33,Finger Bass 3,BASS,160,17,1622,3188,0.5087829360100377,1507,85,30
120,0,125,Brush Kit 1,DRUM_KIT,28,4,1622,4108,0.39483933787731257,1363,259,0
120,0,15,Techno Kit 3,DRUM_KIT,39,3,1613,3975,0.4057861635220126,1467,127,19
121,17,28,Clean Guitar RX4,GUITAR,56,4,1561,3997,0.3905429071803853,909,426,226
121,18,25,12 Strings RX,STRINGS,66,4,1558,7330,0.2125511596180082,869,689,0
121,13,28,Funk Stein RX2,GUITAR,77,5,1550,4022,0.3853804077573347,1219,319,12
121,12,24,Nylon Gtr RX1,GUITAR,75,8,1539,7957,0.19341460349377906,1343,196,0
121,12,27,Funky Wah RX,OTHER_ACC,28,3,1460,4912,0.2972312703583062,1115,345,0
120,0,2,Standard Kit RX3,DRUM_KIT,108,12,1363,9305,0.1464803868887695,909,454,0
120,0,50,Bdrum&Sdrum Kit,DRUM_KIT,56,4,1199,2287,0.5242675994752951,642,74,483
121,3,120,Vox Wah Chick RX,PERCUSSION,6,1,1185,1507,0.7863304578633046,583,582,20
120,0,28,House Kit 3,DRUM_KIT,39,5,1166,4244,0.2747408105560792,993,173,0
120,0,48,Orchestra Kit GM,DRUM_KIT,36,4,1080,1925,0.561038961038961,720,269,91
120,0,35,Jazz Kit RX3,DRUM_KIT,27,2,1074,3229,0.3326107153917622,1070,4,0
121,25,25,Pop SteelGtr RX2,GUITAR,55,3,992,4021,0.2467047998010445,675,317,0
121,13,25,Steel Slide Pro1,GUITAR,50,3,953,3764,0.25318809776833157,834,119,0
121,13,33,Finger Bass RX,BASS,77,5,888,2646,0.3356009070294785,822,66,0
121,32,25,Real Folk Gtr,GUITAR,87,12,779,7458,0.10445159560203808,631,148,0
121,12,28,Funk Stein RX1,GUITAR,18,3,774,2624,0.29496951219512196,711,63,0
