family,role,element,segments,styles,notes,ghost_candidate_fraction,accent_candidate_fraction,staccato_fraction,legato_overlap_fraction,tenuto_fraction,dead_mute_candidate_fraction,strum_candidates,trill_runs,tremolo_runs,grace_candidates,repeat_runs,special_pitch_notes
DRUM_KIT,DRUM,Variation 4,487,244,54823,0.25452773489228975,0.38890613592835127,0.6944744264268646,0.14660872918300713,0.04265087390328877,0.0,340,303,410,3565,548,3620
DRUM_KIT,DRUM,Ending 1,500,250,53735,0.2678143606587885,0.34245809639899505,0.7292361661859124,0.14084823113427003,0.033157479110449424,0.0,198,334,416,4919,636,4669
DRUM_KIT,DRUM,Intro 1,483,242,45946,0.25582191877421323,0.3521742475950028,0.7587787857484873,0.12474752034997605,0.023745415923040088,0.0,138,385,358,4810,1061,4490
DRUM_KIT,DRUM,Variation 3,479,245,42766,0.25150845157368,0.3956180636486929,0.7127533383996633,0.13988514731328625,0.03971955057756161,0.0,196,303,290,2666,522,3542
DRUM_KIT,PERC,Variation 4,433,215,39751,0.2878667792005233,0.3765690568790723,0.662498483560162,0.14075061306633793,0.054963702799929556,0.0,354,393,232,3719,673,3704
DRUM_KIT,DRUM,Variation 1,447,238,38384,0.29452329955189666,0.4187940563776574,0.5941104184035014,0.3072064211650688,0.026758240152146725,0.0,245,147,217,2164,503,2172
DRUM_KIT,PERC,Ending 1,417,210,37051,0.29480975790127123,0.3531619761949745,0.6862617162829614,0.16658409840490135,0.03916686216296456,0.0,180,475,226,3822,844,3789
DRUM_KIT,DRUM,Variation 2,456,241,35218,0.2461809926742007,0.395507880345278,0.7056588133908797,0.13782889800670112,0.03976095093418138,0.0,265,166,261,2968,511,2480
GUITAR,ACC2,Variation 4,217,108,29346,0.0,0.3652623890819873,0.12378648265521706,0.6937122657261637,0.10990814386969264,0.03459884038710557,1535,74,114,338,154,3165
DRUM_KIT,PERC,Intro 1,353,181,28730,0.28799135189697184,0.3545770375913679,0.7224537278106509,0.15392377479986077,0.02616229620605639,0.0,176,345,264,3281,660,3148
DRUM_KIT,PERC,Variation 3,407,206,28433,0.29293457566911685,0.3781172232968733,0.7129655600886293,0.13784123659128478,0.033245634298174655,0.0,172,479,168,3008,639,2347
GUITAR,ACC2,Variation 3,222,111,25615,0.0,0.3711892207690806,0.14389683349599844,0.6683656275619754,0.10592838493070467,0.04916382471208277,1421,131,69,359,147,2567
GUITAR,ACC2,Ending 1,229,114,21881,0.0,0.37187507060920433,0.15216448973995703,0.6425112622823455,0.10844201041999908,0.05555668570906265,635,47,19,281,140,2865
GUITAR,ACC2,Variation 1,191,105,21785,0.0,0.4245584347027771,0.12632171677759926,0.7353525053936194,0.062082922194170304,0.038770960293780125,2070,79,68,146,129,1529
DRUM_KIT,PERC,Variation 1,315,170,20684,0.3403109529104622,0.40016461661187397,0.5418388043898665,0.3656295745503771,0.02133763778766196,0.0,44,422,44,1877,724,2012
GUITAR,ACC2,Variation 2,196,104,20465,0.0,0.3816759438064989,0.15175925384803324,0.6802373334962131,0.09846461079892499,0.051586795015880774,967,83,47,186,104,2371
DRUM_KIT,PERC,Variation 2,362,191,19157,0.28501300151380693,0.3789736874249621,0.6845924492352665,0.18253260009396044,0.03237180456230099,0.0,128,326,95,1905,629,1599
GUITAR,ACC2,Intro 1,208,106,18693,0.0,0.37548841277483547,0.14430178783501846,0.6532889776921843,0.1171619718611245,0.05643782164446584,525,56,40,163,158,2263
DRUM_KIT,DRUM,Ending 2,298,244,18089,0.26004796008624026,0.3341810851898944,0.6448089181270386,0.2101798015368456,0.041036432638620154,0.0,95,115,117,1794,233,1765
PIANO,ACC1,Ending 1,244,119,16382,0.0,0.26944239531192776,0.23957760346722012,0.4390428299352948,0.177156064583079,0.0,192,22,54,143,204,37
PIANO,ACC1,Variation 4,223,115,16266,0.0,0.2807694012049674,0.2845643932128366,0.40046809049551213,0.16336568855280953,0.0,396,56,39,98,240,220
PIANO,ACC1,Intro 1,209,105,14562,0.0,0.2781214421096003,0.265630606372751,0.43868038318912234,0.1563547411069908,0.0,144,20,32,222,227,157
GUITAR,ACC3,Variation 4,171,79,14214,0.0,0.3637263360067539,0.15318601730688056,0.5716603672435627,0.136700314478683,0.050319157872520046,308,54,35,262,118,1954
BASS,BASS,Variation 4,382,186,14102,0.0,0.4662458949085236,0.16834107573393844,0.2692461118990214,0.34199522479080985,0.07005175294284499,0,112,61,356,588,1457
DRUM_KIT,DRUM,Intro 2,305,235,13213,0.21804280481344132,0.339060351169303,0.6910728229773708,0.1757795459017634,0.029737578899568608,0.0,54,119,83,1177,316,825
PIANO,ACC1,Variation 3,213,108,12829,0.0,0.2965154485930314,0.3151954065008964,0.3956498207186842,0.17349091277574244,0.0,216,47,29,79,158,210
DRUM_KIT,PERC,Ending 2,245,195,12143,0.31203176562628676,0.3492548192374207,0.6633297282384913,0.15395971341513628,0.04985873754426419,0.0,84,138,56,1218,287,1187
BASS,BASS,Variation 3,374,183,11620,0.0,0.46454364027538725,0.2000868855421687,0.25961381497418246,0.3059091617900172,0.07510845352839932,0,78,59,338,596,1285
BASS,BASS,Variation 1,359,186,11520,0.0,0.44357676562500004,0.16336525520833334,0.4125903064236111,0.1952824652777778,0.0534075234375,0,14,5,111,517,1024
GUITAR,ACC3,Ending 1,158,79,11326,0.0,0.3702104388133498,0.18065772735299312,0.599585399964683,0.10482839219494967,0.05758918329507328,291,60,50,409,100,1597
GUITAR,ACC3,Variation 3,169,75,11238,0.0,0.3872580681615946,0.17834442694429614,0.580053183840541,0.13165820608649226,0.06374044936821498,261,63,29,172,135,1661
PIANO,ACC1,Variation 1,166,82,11119,0.0,0.300297984530983,0.17722919866894504,0.6664287292022664,0.07934850885871031,0.0,559,12,30,89,118,186
PIANO,ACC1,Variation 2,195,103,10768,0.0,0.27163798198365524,0.3282518573551263,0.44174269037890046,0.11657723718424963,0.0,259,26,12,86,120,0
GUITAR,ACC3,Variation 2,145,71,10456,0.0,0.34544750191277734,0.18011949502677888,0.6236403835118592,0.11475396231828615,0.058978695485845445,176,73,8,159,134,1469
BASS,BASS,Ending 1,379,190,10443,0.0,0.461744898017811,0.19123667815761755,0.30016434932490665,0.27720583357272816,0.08715033419515465,1,57,31,282,503,1254
OTHER_ACC,ACC2,Variation 4,121,58,9901,0.0,0.3368334855065145,0.31574634178365824,0.3730363135036865,0.07722086758913241,0.0,217,52,42,356,136,845
BASS,BASS,Variation 2,363,186,9740,0.0,0.5160162843942505,0.18987317351129365,0.2483855092402464,0.30619074229979465,0.07623902669404517,0,37,12,204,468,1026
