file,role,cv,transition,rhythm_jaccard,same_rhythm_mask,sound_same,sound_added,sound_removed,delta_notes_per_bar,delta_onsets_per_bar,delta_velocity_p50,delta_velocity_p90,delta_register_width,delta_polyphony_mean,delta_fine_subdivision_fraction,delta_offbeat_8th_fraction,delta_strum_fraction,delta_staccato_fraction,delta_legato_overlap_fraction
Factory Styles/50's  Fox.mid,DRUM,1,V1->V2,0.6666666666666666,False,True,0,0,4.0,2.0,-1.0,1.5,2,0.3333299999999999,0.25,-0.25,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,DRUM,1,V2->V3,0.8333333333333334,False,True,0,0,1.0,-1.0,-6.0,-5.699999999999989,-2,0.4666699999999999,-0.13889,0.19444,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,DRUM,1,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,BASS,1,V1->V2,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,BASS,1,V2->V3,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,BASS,1,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,ACC1,1,V1->V2,0.8,False,True,0,0,4.0,1.0,-4.0,-8.0,0,0.2999999999999998,0.28571,-0.22857000000000005,0.0,-0.41667,0.0
Factory Styles/50's  Fox.mid,ACC1,1,V2->V3,1.0,True,True,0,0,0.0,0.0,1.0,2.9000000000000057,0,0.0,0.0,0.0,0.0,-0.25,0.0
Factory Styles/50's  Fox.mid,ACC1,1,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,PERC,1,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,ACC3,1,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,DRUM,2,V1->V2,0.6666666666666666,False,True,0,0,4.0,2.0,-1.0,1.5,2,0.3333299999999999,0.25,-0.25,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,DRUM,2,V2->V3,0.8333333333333334,False,True,0,0,1.0,-1.0,-6.0,-5.699999999999989,-2,0.4666699999999999,-0.13889,0.19444,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,DRUM,2,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,BASS,2,V1->V2,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,BASS,2,V2->V3,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,BASS,2,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,ACC1,2,V1->V2,0.8,False,True,0,0,4.0,1.0,1.0,3.9000000000000057,0,0.2999999999999998,0.28571,-0.22857000000000005,0.0,-0.52083,0.0
Factory Styles/50's  Fox.mid,ACC1,2,V2->V3,1.0,True,True,0,0,0.0,0.0,0.0,-0.9000000000000057,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,ACC1,2,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,PERC,2,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/50's  Fox.mid,ACC3,2,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/60's Dance.mid,DRUM,1,V1->V2,1.0,True,True,0,0,-0.75,-0.75,4.0,0.0,0,0.03489999999999993,0.0,-0.08699000000000001,0.125,0.036579999999999946,-0.03658
Factory Styles/60's Dance.mid,DRUM,1,V2->V3,1.0,True,True,0,0,0.75,0.75,-4.0,0.0,0,-0.03489999999999993,0.0,0.08699000000000001,-0.125,-0.036579999999999946,0.03658
Factory Styles/60's Dance.mid,DRUM,1,V3->V4,1.0,True,True,0,0,-0.75,-0.75,4.0,0.0,0,0.03489999999999993,0.0,-0.08699000000000001,0.125,0.036579999999999946,-0.03658
Factory Styles/60's Dance.mid,PERC,1,V1->V2,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/60's Dance.mid,PERC,1,V2->V3,0.8888888888888888,False,True,0,0,1.75,-0.25,0.0,0.0,0,0.26515,0.0,0.10204000000000002,0.0,0.0,0.0
Factory Styles/60's Dance.mid,PERC,1,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/60's Dance.mid,BASS,1,V1->V2,0.75,False,True,0,0,1.875,1.875,-6.0,-4.0,-2,0.0,0.0,0.3818200000000001,0.0,0.07407,-0.01424000000000001
Factory Styles/60's Dance.mid,BASS,1,V2->V3,0.5555555555555556,False,True,0,0,-2.0,-2.0,6.0,4.0,0,0.0,0.25641,-0.47926000000000013,0.0,-0.07407,-0.03704
Factory Styles/60's Dance.mid,BASS,1,V3->V4,0.7142857142857143,False,True,0,0,0.875,0.875,0.0,0.0,3,0.0,-0.16945000000000002,0.11483,0.0,0.0,0.15556
Factory Styles/60's Dance.mid,ACC1,1,V1->V2,0.625,False,True,0,0,-3.25,-7.25,-14.0,-4.600000000000023,0,0.4132400000000003,-0.02397000000000002,0.04464999999999997,0.05207999999999999,0.30545000000000005,-0.22333999999999998
Factory Styles/60's Dance.mid,ACC1,1,V2->V3,0.6153846153846154,False,True,0,0,-10.625,-6.125,20.0,8.0,4,-0.13541000000000025,-0.1079,-0.03566999999999998,-0.19791999999999998,-0.39523,0.26217999999999997
Factory Styles/60's Dance.mid,ACC1,1,V3->V4,0.875,False,True,0,0,-0.375,-0.125,0.0,-0.5999999999999943,0,-0.029750000000000165,0.04317,-0.02422000000000002,0.022649999999999997,-0.03028,0.02379000000000009
Factory Styles/60's Dance.mid,ACC2,1,V1->V2,0.5384615384615384,False,True,0,0,-0.5,-0.625,-3.0,-2.0,5,0.028629999999999933,-0.20625,0.054169999999999996,0.0,0.000270000000000048,-0.11191999999999999
Factory Styles/60's Dance.mid,ACC2,1,V2->V3,0.9,False,True,0,0,3.5,2.625,0.0,0.0,0,0.057109999999999994,0.02726999999999996,-0.003029999999999977,0.0,-0.11631000000000002,0.11903
Factory Styles/60's Dance.mid,ACC2,1,V3->V4,0.8,False,True,0,0,0.5,-0.75,4.0,2.0,-8,0.16375000000000006,-0.22726999999999997,0.027660000000000018,0.0,-0.05001999999999998,-0.1805
Factory Styles/60's Dance.mid,ACC3,1,V1->V2,0.3333333333333333,False,True,0,0,4.875,2.875,-2.0,0.0,17,0.30769,-0.55172,0.6856,0.0,-0.1168800000000001,0.24241999999999997
Factory Styles/60's Dance.mid,ACC3,1,V2->V3,0.7142857142857143,False,True,0,0,-0.5,-1.5,-4.0,-6.0,-12,0.29231000000000007,0.09375,-0.32353,0.41667,-0.08947,0.10679000000000005
Factory Styles/60's Dance.mid,ACC3,1,V3->V4,0.3,False,True,0,0,-0.5,1.5,4.0,6.0,2,-0.44615000000000005,0.17292000000000002,0.09999999999999998,-0.41667,-0.026100000000000012,-0.010230000000000017
Factory Styles/60's Dance.mid,DRUM,2,V1->V2,1.0,True,True,0,0,-0.75,-0.75,4.0,0.0,0,0.03489999999999993,0.0,-0.08699000000000001,0.125,0.036579999999999946,-0.03658
Factory Styles/60's Dance.mid,DRUM,2,V2->V3,1.0,True,True,0,0,0.75,0.75,-4.0,0.0,0,-0.03489999999999993,0.0,0.08699000000000001,-0.125,-0.036579999999999946,0.03658
Factory Styles/60's Dance.mid,DRUM,2,V3->V4,1.0,True,True,0,0,-0.75,-0.75,4.0,0.0,0,0.03489999999999993,0.0,-0.08699000000000001,0.125,0.036579999999999946,-0.03658
Factory Styles/60's Dance.mid,PERC,2,V1->V2,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/60's Dance.mid,PERC,2,V2->V3,0.8888888888888888,False,True,0,0,1.75,-0.25,0.0,0.0,0,0.26515,0.0,0.10204000000000002,0.0,0.0,0.0
Factory Styles/60's Dance.mid,PERC,2,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/60's Dance.mid,BASS,2,V1->V2,0.75,False,True,0,0,1.875,1.875,-6.0,-4.0,-2,0.0,0.0,0.3818200000000001,0.0,0.07407,-0.01424000000000001
Factory Styles/60's Dance.mid,BASS,2,V2->V3,0.5555555555555556,False,True,0,0,-2.0,-2.0,6.0,4.0,0,0.0,0.25641,-0.47926000000000013,0.0,-0.07407,-0.03704
Factory Styles/60's Dance.mid,BASS,2,V3->V4,0.7142857142857143,False,True,0,0,0.875,0.875,0.0,0.0,4,0.0,-0.16945000000000002,0.11483,0.0,0.0,0.15556
Factory Styles/60's Dance.mid,ACC1,2,V1->V2,0.625,False,True,0,0,-3.25,-7.25,-14.0,-6.0,0,0.4132400000000003,-0.06119999999999998,0.06592999999999999,0.08732000000000001,0.32684,-0.21799000000000002
Factory Styles/60's Dance.mid,ACC1,2,V2->V3,0.6153846153846154,False,True,0,0,-10.625,-6.125,20.0,8.0,3,-0.13541000000000025,-0.1079,-0.03566999999999998,-0.21355000000000002,-0.39523,0.26217999999999997
Factory Styles/60's Dance.mid,ACC1,2,V3->V4,0.875,False,True,0,0,-0.375,-0.125,0.0,-0.5999999999999943,0,-0.029750000000000165,0.04317,-0.02422000000000002,0.022649999999999997,-0.03028,0.02379000000000009
Factory Styles/60's Dance.mid,ACC2,2,V1->V2,0.7777777777777778,False,True,0,0,1.0,0.125,-2.0,-2.0,5,0.13207999999999998,0.12308000000000001,-0.09487000000000001,0.0,0.018950000000000022,-0.23329999999999998
Factory Styles/60's Dance.mid,ACC2,2,V2->V3,0.9,False,True,0,0,3.5,2.625,0.0,0.0,0,0.057109999999999994,0.02726999999999996,-0.003029999999999977,0.0,-0.11631000000000002,0.10754
Factory Styles/60's Dance.mid,ACC2,2,V3->V4,0.8,False,True,0,0,0.5,-0.75,4.0,2.0,-8,0.16375000000000006,-0.22726999999999997,0.027660000000000018,0.0,-0.05001999999999998,-0.16901
Factory Styles/60's Dance.mid,ACC3,2,V1->V2,0.3333333333333333,False,True,0,0,4.875,2.875,-2.0,0.0,17,0.30769,-0.55172,0.6856,0.0,-0.1168800000000001,0.24241999999999997
Factory Styles/60's Dance.mid,ACC3,2,V2->V3,0.7142857142857143,False,True,0,0,-0.5,-1.5,-4.0,-6.0,-12,0.29231000000000007,0.09375,-0.32353,0.41667,-0.08947,0.10679000000000005
Factory Styles/60's Dance.mid,ACC3,2,V3->V4,0.4,False,True,0,0,0.0,2.0,4.0,6.0,0,-0.4571400000000001,0.21875,0.0625,-0.41667,-0.047619999999999996,0.09522999999999998
Factory Styles/60's Dance.mid,DRUM,3,V1->V2,1.0,True,True,0,0,-0.75,-0.75,4.0,0.0,0,0.03489999999999993,0.0,-0.08699000000000001,0.125,0.036579999999999946,-0.03658
Factory Styles/60's Dance.mid,DRUM,3,V2->V3,1.0,True,True,0,0,0.75,0.75,-4.0,0.0,0,-0.03489999999999993,0.0,0.08699000000000001,-0.125,-0.036579999999999946,0.03658
Factory Styles/60's Dance.mid,DRUM,3,V3->V4,1.0,True,True,0,0,-0.75,-0.75,4.0,0.0,0,0.03489999999999993,0.0,-0.08699000000000001,0.125,0.036579999999999946,-0.03658
Factory Styles/60's Dance.mid,PERC,3,V1->V2,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/60's Dance.mid,PERC,3,V2->V3,0.8888888888888888,False,True,0,0,1.75,-0.25,0.0,0.0,0,0.26515,0.0,0.10204000000000002,0.0,0.0,0.0
Factory Styles/60's Dance.mid,PERC,3,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/60's Dance.mid,BASS,3,V1->V2,0.75,False,True,0,0,1.875,1.875,-7.0,-4.0,2,0.0,0.0,0.3818200000000001,0.0,0.07407,-0.06552000000000002
Factory Styles/60's Dance.mid,BASS,3,V2->V3,0.5555555555555556,False,True,0,0,-1.875,-1.875,6.0,2.200000000000003,-7,0.0,0.3,-0.48182000000000014,0.0,-0.07407,-0.03704
Factory Styles/60's Dance.mid,BASS,3,V3->V4,0.7142857142857143,False,True,0,0,0.75,0.75,0.0,1.7999999999999972,10,0.0,-0.21303999999999998,0.11739,0.0,0.0,0.15556
Factory Styles/60's Dance.mid,ACC1,3,V1->V2,0.625,False,True,0,0,-3.5,-7.0,-14.0,-6.0,0,0.3634599999999999,-0.04653999999999997,0.052659999999999985,0.10294,0.32882999999999996,-0.20772000000000002
Factory Styles/60's Dance.mid,ACC1,3,V2->V3,0.5384615384615384,False,True,0,0,-10.75,-6.5,20.0,7.400000000000006,6,-0.11538000000000004,-0.07939,-0.046619999999999995,-0.20652,-0.4275,0.24829999999999997
Factory Styles/60's Dance.mid,ACC1,3,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02740000000000009
